rank,tool,access,description,homepage,license
3717,mariadb-connector-odbc,local-installable,Database driver using the industry standard ODBC API,https://mariadb.org/download/?tab=connector&prod=connector-odbc,LGPL-2.1-or-later
3718,memtester,local-installable,Utility for testing the memory subsystem,https://pyropus.ca/software/memtester/,GPL-2.0-only
3719,gatsby-cli,local-installable,Gatsby command-line interface,https://www.gatsbyjs.com/docs/reference/gatsby-cli/,MIT
3721,ccat,local-installable,Like cat but displays content with syntax highlighting,https://github.com/owenthereal/ccat,MIT
3722,mapproxy,local-installable,Accelerating web map proxy,https://mapproxy.org/,Apache-2.0
3723,mp4v2,local-installable,"Read, create, and modify MP4 files",https://mp4v2.org,MPL-1.1
3724,ghalint,local-installable,GitHub Actions linter,https://github.com/suzuki-shunsuke/ghalint,MIT
3725,gnu-apl,local-installable,GNU implementation of the programming language APL,https://www.gnu.org/software/apl/,GPL-3.0-or-later
3727,parsedmarc,local-installable,DMARC report analyzer and visualizer,https://domainaware.github.io/parsedmarc/,Apache-2.0
3728,orc,local-installable,Oil Runtime Compiler (ORC),https://gstreamer.freedesktop.org/modules/orc.html,BSD-2-Clause AND BSD-3-Clause
3730,hmmer,local-installable,Build profile HMMs and scan against sequence databases,http://hmmer.org/,BSD-3-Clause
3731,dufs,local-installable,Static file server,https://github.com/sigoden/dufs,Apache-2.0 OR MIT
3732,webkitgtk,local-installable,GTK interface to WebKit,https://webkitgtk.org,GPL-3.0-or-later
3733,scdl,local-installable,Command-line tool to download music from SoundCloud,https://github.com/scdl-org/scdl,GPL-2.0-only
3734,mariadb@11.8,local-installable,Drop-in replacement for MySQL,https://mariadb.org/,GPL-2.0-only
3735,python-gdbm@3.12,local-installable,Python interface to gdbm,https://www.python.org/,Python-2.0
3736,pianobar,local-installable,Command-line player for https://pandora.com,https://6xq.net/pianobar/,MIT
3737,klee,local-installable,Symbolic Execution Engine,https://klee-se.org,NCSA
3738,findomain,local-installable,Cross-platform subdomain enumerator,https://github.com/Findomain/Findomain,GPL-3.0-or-later
3739,mcp-atlassian,local-installable,"MCP server for Atlassian tools (Confluence, Jira)",https://github.com/sooperset/mcp-atlassian,MIT
3741,surfer,local-installable,"Waveform viewer, supporting VCD, FST, or GHW format",https://surfer-project.org/,EUPL-1.2
3742,macpine,local-installable,Lightweight Linux VMs on MacOS,https://beringresearch.github.io/macpine/,Apache-2.0
3745,nox,local-installable,Flexible test automation for Python,https://nox.thea.codes/,Apache-2.0
3746,shadowenv,local-installable,Reversible directory-local environment variable manipulations,https://shopify.github.io/shadowenv/,MIT
3747,zopfli,local-installable,"New zlib (gzip, deflate) compatible compressor",https://github.com/google/zopfli,Apache-2.0
3748,rkhunter,local-installable,Rootkit hunter,https://rkhunter.sourceforge.net/,GPL-2.0-or-later
