rank,tool,command_hint,type,access,description,homepage,license
1508,apko,apko,cli,local-installable,Build OCI images from APK packages directly without Dockerfile,https://github.com/chainguard-dev/apko,Apache-2.0
1521,balena-cli,balena-cli,cli,local-installable,Command-line tool for interacting with the balenaCloud and balena API,https://docs.balena.io/reference/balena-cli/latest/,Apache-2.0
1525,tf-summarize,tf-summarize,cli,local-installable,CLI to print the summary of the terraform plan,https://github.com/dineshba/tf-summarize,MIT
1532,ko,ko,cli,local-installable,Build and deploy Go applications on Kubernetes,https://ko.build,Apache-2.0
1541,scw,scw,cli,local-installable,Command-line Interface for Scaleway,https://www.scaleway.com/en/cli/,Apache-2.0
1552,kops,kops,cli,local-installable,"Production Grade K8s Installation, Upgrades, and Management",https://kops.sigs.k8s.io/,Apache-2.0
1564,awscli@1,aws,cli,local-installable,Official Amazon AWS command-line interface,https://aws.amazon.com/cli/,Apache-2.0
1570,kubetail,kubetail,cli,local-installable,Logging tool for Kubernetes with a real-time web dashboard,https://www.kubetail.com/,Apache-2.0
1580,faas-cli,faas-cli,cli,local-installable,CLI for templating and/or deploying FaaS functions,https://www.openfaas.com/,MIT
1592,steampipe,steampipe,service/daemon,local-installable,Use SQL to instantly query your cloud services,https://steampipe.io/,AGPL-3.0-only
1606,aws-sso-util,aws-sso-util,cli,local-installable,"Smooth out the rough edges of AWS SSO (temporarily, until AWS makes it better)",https://github.com/benkehoe/aws-sso-util,Apache-2.0
1632,gifski,gifski,cli,local-installable,Highest-quality GIF encoder based on pngquant,https://gif.ski/,AGPL-3.0-only
1653,atmos,atmos,cli,local-installable,Universal Tool for DevOps and Cloud Automation,https://github.com/cloudposse/atmos,Apache-2.0
1656,x265,x265,cli,local-installable,H.265/HEVC encoder,https://bitbucket.org/multicoreware/x265_git,GPL-2.0-or-later
1676,rav1e,rav1e,cli,local-installable,Fastest and safest AV1 video encoder,https://github.com/xiph/rav1e,BSD-2-Clause
1683,cog,cog,cli,local-installable,Containers for machine learning,https://cog.run/,Apache-2.0
1695,snapcraft,snapcraft,service/daemon,local-installable,"Package any app for every Linux desktop, server, cloud or device",https://snapcraft.io/,GPL-3.0-only
1697,terramate,terramate,cli,local-installable,Managing Terraform stacks with change detections and code generations,https://terramate.io/docs/,MPL-2.0
1714,tektoncd-cli,tektoncd-cli,cli,local-installable,CLI for interacting with TektonCD,https://github.com/tektoncd/cli,Apache-2.0
