rank,tool,access,description,homepage,license
4262,zigup,local-installable,Download and manage zig compilers,https://github.com/marler8997/zigup,MIT-0
4263,arjun,local-installable,HTTP parameter discovery suite,https://github.com/s0md3v/Arjun,AGPL-3.0-only
4264,drill,local-installable,HTTP load testing application written in Rust,https://github.com/fcsonline/drill,GPL-3.0-or-later
4266,mdformat,local-installable,CommonMark compliant Markdown formatter,https://mdformat.readthedocs.io/en/stable/,MIT
4268,libcouchbase,local-installable,C library for Couchbase,https://docs.couchbase.com/c-sdk/current/hello-world/start-using-sdk.html,Apache-2.0
4269,modules,local-installable,Dynamic modification of a user's environment via modulefiles,https://modules.sourceforge.net/,GPL-2.0-or-later
4270,sylpheed,local-installable,"Simple, lightweight email-client",https://sylpheed.sraoss.jp/en/,GPL-2.0-or-later AND LGPL-2.1-or-later AND MIT AND LicenseRef-Homebrew-public-domain
4271,clazy,local-installable,Qt oriented static code analyzer,https://www.kdab.com/,LGPL-2.0-or-later
4273,gcc@10,local-installable,GNU compiler collection,https://gcc.gnu.org/,GPL-3.0-or-later WITH GCC-exception-3.1
4274,erlang@25,local-installable,Programming language for highly scalable real-time systems,https://www.erlang.org/,Apache-2.0
4275,carla,local-installable,"Audio plugin host supporting LADSPA, LV2, VST2/3, SF2 and more",https://kx.studio/Applications:Carla,GPL-2.0-or-later
4276,dnsdist,local-installable,"Highly DNS-, DoS- and abuse-aware loadbalancer",https://www.dnsdist.org/,GPL-2.0-only
4277,gammaray,local-installable,Examine and manipulate Qt application internals at runtime,https://www.kdab.com/software-technologies/developer-tools/gammaray/,GPL-2.0-or-later
4278,atop,local-installable,Advanced system and process monitor for Linux using process events,https://www.atoptool.nl,GPL-2.0-or-later
4279,rmpc,local-installable,Terminal based Media Player Client with album art support,https://mierak.github.io/rmpc/,BSD-3-Clause
4280,kaitai-struct-compiler,local-installable,Compiler for generating binary data parsers,https://kaitai.io/,GPL-3.0-or-later
4281,wayland-protocols,local-installable,Additional Wayland protocols,https://wayland.freedesktop.org,MIT
4284,binsider,local-installable,Analyzes ELF binaries,https://binsider.dev/,Apache-2.0 OR MIT
4285,libxcursor,local-installable,X.Org: X Window System Cursor management library,https://www.x.org/,MIT
4286,bench,local-installable,Command-line benchmark tool,https://github.com/Gabriella439/bench,BSD-3-Clause
4287,lasso,local-installable,Library for Liberty Alliance and SAML protocols,https://lasso.entrouvert.org/,GPL-2.0-or-later
4288,alot,local-installable,Text mode MUA using notmuch mail,https://github.com/pazz/alot,GPL-3.0-only
4290,fedify,local-installable,CLI toolchain for Fedify,https://fedify.dev/cli,MIT
4291,up,local-installable,Tool for writing command-line pipes with instant live preview,https://github.com/akavel/up,Apache-2.0
4292,qt-mysql,local-installable,Qt SQL Database Driver,https://www.qt.io/,GPL-2.0-only OR GPL-3.0-only OR LGPL-3.0-only
4294,qtpositioning,local-installable,"Provides access to position, satellite info and area monitoring classes",https://www.qt.io/,(LGPL-3.0-only OR GPL-2.0-only OR GPL-3.0-only) AND BSD-3-Clause AND BSL-1.0 AND MIT
