rank,tool,access,description,homepage,license
3435,algol68g,local-installable,Algol 68 compiler-interpreter,https://jmvdveer.home.xs4all.nl/algol.html,GPL-3.0-or-later
3437,berkeley-db@4,local-installable,High performance key/value database,https://www.oracle.com/database/technologies/related/berkeleydb.html,Sleepycat
3438,libgr,local-installable,GR framework: a graphics library for visualisation applications,https://gr-framework.org/,MIT
3439,pgbouncer,local-installable,Lightweight connection pooler for PostgreSQL,https://www.pgbouncer.org/,ISC
3440,pqiv,local-installable,Powerful image viewer with minimal UI,https://github.com/phillipberndt/pqiv,GPL-3.0-or-later
3441,simg2img,local-installable,Tool to convert Android sparse images to raw images and back,https://github.com/anestisb/android-simg2img,Apache-2.0
3442,fwup,local-installable,Configurable embedded Linux firmware update creator and runner,https://github.com/fwup-home/fwup,Apache-2.0
3443,neovim-qt,local-installable,"Neovim GUI, in Qt",https://github.com/equalsraf/neovim-qt,ISC
3444,verapdf,local-installable,Open-source industry-supported PDF/A validation,https://verapdf.org/home/,GPL-3.0-or-later OR MPL-2.0
3445,libmtp,local-installable,Implementation of Microsoft's Media Transfer Protocol (MTP),https://libmtp.sourceforge.net/,LGPL-2.1-or-later
3447,etcd-cpp-apiv3,local-installable,"C++ implementation for etcd's v3 client API, i.e., ETCDCTL_API=3",https://github.com/etcd-cpp-apiv3/etcd-cpp-apiv3,BSD-3-Clause
3448,pkcs11-tools,local-installable,Tools to manage objects on PKCS#11 crypotographic tokens,https://github.com/Mastercard/pkcs11-tools,Apache-2.0
3449,t-rec,local-installable,Blazingly fast terminal recorder that generates animated gif images for the web,https://github.com/sassman/t-rec-rs,GPL-3.0-only
3450,commandbox,local-installable,"CFML embedded server, package manager, and app scaffolding tools",https://www.ortussolutions.com/products/commandbox,Apache-2.0
3451,mesa-glu,local-installable,Mesa OpenGL Utility library,https://gitlab.freedesktop.org/mesa/glu,GPL-3.0-or-later OR GPL-2.0-or-later OR MIT OR SGI-B-2.0
3452,kube-bench,local-installable,Checks Kubernetes deployment against security best practices (CIS Benchmark),https://github.com/aquasecurity/kube-bench,Apache-2.0
3455,node-red,local-installable,Low-code programming for event-driven applications,https://nodered.org/,Apache-2.0
3456,kubernetes-cli@1.30,local-installable,Kubernetes command-line interface,https://kubernetes.io/docs/reference/kubectl/,Apache-2.0
3457,cf2tf,local-installable,Cloudformation templates to Terraform HCL converter,https://github.com/DontShaveTheYak/cf2tf,GPL-3.0-only
3458,quilt,local-installable,Work with series of patches,https://savannah.nongnu.org/projects/quilt,GPL-2.0-or-later
3459,fortls,local-installable,Fortran language server,https://fortls.fortran-lang.org/,MIT
3460,imageoptim-cli,local-installable,"CLI for ImageOptim, ImageAlpha and JPEGmini",https://jamiemason.github.io/ImageOptim-CLI/,MIT
3461,metview,local-installable,Meteorological workstation software,https://metview.readthedocs.io/en/latest/,Apache-2.0
3463,victoriametrics,local-installable,Cost-effective and scalable monitoring solution and time series database,https://victoriametrics.com/,Apache-2.0
3464,logdy,local-installable,Web based real-time log viewer,https://logdy.dev,Apache-2.0
3469,gptline,local-installable,ChatGPT client with native iTerm2 support,https://github.com/gnachman/gptline,GPL-3.0-only
