service,description,homepage,protocols,auth_mode,auth_required,api_key_needed,prompt_policy,skills_using_count,skills_using,skill_paths
apko,Build OCI images from APK packages directly without Dockerfile,https://github.com/chainguard-dev/apko,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b04-cloud-platform-devops,skills/generated/shards/nexus-04/b04-cloud-platform-devops/SKILL.md
argo,Get stuff done with container-native workflows for Kubernetes,https://argoproj.io,"JSON-RPC/WebSocket, CLI/stdin-stdout",Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,kubernetes-and-container-platforms,skills/generated/shards/nexus-02/kubernetes-and-container-platforms/SKILL.md
ata,ChatGPT in the terminal,https://github.com/transformrs/ata,"HTTPS/REST, CLI/stdin-stdout",API key,yes,yes,Check `OPENAI_API_KEY` first and validate auth with a lightweight request. Ask user for the OpenAI/ChatGPT provider API key only if missing/invalid/expired.,1,b09-typesetting-fleet-runtime-web,skills/generated/shards/nexus-09/b09-typesetting-fleet-runtime-web/SKILL.md
aws-c-auth,C99 library implementation of AWS client-side authentication,https://github.com/awslabs/aws-c-auth,"JSON-RPC/WebSocket, Local library API/ABI, CLI/stdin-stdout",Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b10-terminal-java-media-forensics,skills/generated/shards/nexus-10/b10-terminal-java-media-forensics/SKILL.md
aws-c-cal,AWS Crypto Abstraction Layer,https://github.com/awslabs/aws-c-cal,"JSON-RPC/WebSocket, CLI/stdin-stdout",Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b10-stream-build-deploy,skills/generated/shards/nexus-10/b10-stream-build-deploy/SKILL.md
aws-c-http,C99 implementation of the HTTP/1.1 and HTTP/2 specifications,https://github.com/awslabs/aws-c-http,"HTTP/2, CLI/stdin-stdout",Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b09-governance-k8s-docs-observability,skills/generated/shards/nexus-09/b09-governance-k8s-docs-observability/SKILL.md
aws-c-io,Event driven framework for implementing application protocols,https://github.com/awslabs/aws-c-io,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b08-db-messaging-build-release,skills/generated/shards/nexus-08/b08-db-messaging-build-release/SKILL.md
aws-c-s3,C99 library implementation for communicating with the S3 service,https://github.com/awslabs/aws-c-s3,"Local library API/ABI, CLI/stdin-stdout",Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b07-net-media-build-cli,skills/generated/shards/nexus-07/b07-net-media-build-cli/SKILL.md
aws-console,Command-line to use AWS CLI credentials to launch the AWS console in a browser,https://github.com/aws-cloudformation/rain,"JSON-RPC/WebSocket, CLI/stdin-stdout",Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b06-recon-data-k8s-workflows,skills/generated/shards/nexus-06/b06-recon-data-k8s-workflows/SKILL.md
aws-crt-cpp,C++ wrapper around the aws-c-* libraries,https://github.com/awslabs/aws-crt-cpp,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b06-fuzzing-terminal-timeseries-langservers,skills/generated/shards/nexus-06/b06-fuzzing-terminal-timeseries-langservers/SKILL.md
aws-elasticbeanstalk,Client for Amazon Elastic Beanstalk web service,https://docs.aws.amazon.com/elasticbeanstalk/latest/dg/eb-cli3.html,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,cloud-and-platform-clis,skills/generated/shards/nexus-02/cloud-and-platform-clis/SKILL.md
aws-es-proxy,Small proxy between HTTP client and AWS Elasticsearch,https://github.com/abutaha/aws-es-proxy,"JSON-RPC/WebSocket, CLI/stdin-stdout",Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b10-network-proxy-cache-sandbox,skills/generated/shards/nexus-10/b10-network-proxy-cache-sandbox/SKILL.md
aws-google-auth,Acquire AWS credentials using Google Apps,https://github.com/cevoaustralia/aws-google-auth,"JSON-RPC/WebSocket, CLI/stdin-stdout",Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b06-partition-radio-testing-data,skills/generated/shards/nexus-06/b06-partition-radio-testing-data/SKILL.md
aws-iam-authenticator,Use AWS IAM credentials to authenticate to Kubernetes,https://github.com/kubernetes-sigs/aws-iam-authenticator,"JSON-RPC/WebSocket, CLI/stdin-stdout",Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,kubernetes-and-container-platforms,skills/generated/shards/nexus-02/kubernetes-and-container-platforms/SKILL.md
aws-lc,General-purpose cryptographic library,https://github.com/aws/aws-lc,"Local library API/ABI, CLI/stdin-stdout",Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b07-graphics-media-runtime,skills/generated/shards/nexus-07/b07-graphics-media-runtime/SKILL.md
aws-rotate-key,Easily rotate your AWS access key,https://github.com/stefansundin/aws-rotate-key,"JSON-RPC/WebSocket, CLI/stdin-stdout",Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b06-fuzzing-terminal-timeseries-langservers,skills/generated/shards/nexus-06/b06-fuzzing-terminal-timeseries-langservers/SKILL.md
aws-shell,Integrated shell for working with the AWS CLI,https://github.com/awslabs/aws-shell,"JSON-RPC/WebSocket, CLI/stdin-stdout",Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b04-cloud-platform-devops,skills/generated/shards/nexus-04/b04-cloud-platform-devops/SKILL.md
aws-sso-cli,Securely manage AWS API credentials using AWS SSO,https://synfinatic.github.io/aws-sso-cli/,"JSON-RPC/WebSocket, CLI/stdin-stdout",Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b04-cloud-platform-devops,skills/generated/shards/nexus-04/b04-cloud-platform-devops/SKILL.md
aws-sso-util,"Smooth out the rough edges of AWS SSO (temporarily, until AWS makes it better)",https://github.com/benkehoe/aws-sso-util,"JSON-RPC/WebSocket, CLI/stdin-stdout",Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b04-cloud-platform-devops,skills/generated/shards/nexus-04/b04-cloud-platform-devops/SKILL.md
aws2-wrap,Script to export current AWS SSO credentials or run a sub-process with them,https://github.com/linaro-its/aws2-wrap,"JSON-RPC/WebSocket, CLI/stdin-stdout",Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b10-docs-ci-infra-runtime,skills/generated/shards/nexus-10/b10-docs-ci-infra-runtime/SKILL.md
awscli@1,Official Amazon AWS command-line interface,https://aws.amazon.com/cli/,"JSON-RPC/WebSocket, CLI/stdin-stdout",Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b04-cloud-platform-devops,skills/generated/shards/nexus-04/b04-cloud-platform-devops/SKILL.md
awsdac,CLI tool for drawing AWS architecture,https://github.com/awslabs/diagram-as-code,"JSON-RPC/WebSocket, CLI/stdin-stdout",Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b07-config-template-security,skills/generated/shards/nexus-07/b07-config-template-security/SKILL.md
awslogs,Simple command-line tool to read AWS CloudWatch logs,https://github.com/jorgebastida/awslogs,"JSON-RPC/WebSocket, CLI/stdin-stdout",Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b04-cloud-platform-devops,skills/generated/shards/nexus-04/b04-cloud-platform-devops/SKILL.md
awsume,Utility for easily assuming AWS IAM roles from the command-line,https://awsu.me,"JSON-RPC/WebSocket, CLI/stdin-stdout",Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b04-cloud-platform-devops,skills/generated/shards/nexus-04/b04-cloud-platform-devops/SKILL.md
azqr,Azure Quick Review,https://azure.github.io/azqr/,"QUIC, CLI/stdin-stdout",Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b07-gitops-k8s-data,skills/generated/shards/nexus-07/b07-gitops-k8s-data/SKILL.md
azure-dev,Developer CLI that provides commands for working with Azure resources,https://aka.ms/azd,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b08-db-messaging-build-release,skills/generated/shards/nexus-08/b08-db-messaging-build-release/SKILL.md
basti,"Securely connect to RDS, Elasticache, and other AWS resources in VPCs",https://github.com/basti-app/basti,"JSON-RPC/WebSocket, CLI/stdin-stdout",Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b10-stream-build-deploy,skills/generated/shards/nexus-10/b10-stream-build-deploy/SKILL.md
cdk8s,Define k8s native apps and abstractions using object-oriented programming,https://cdk8s.io/,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,kubernetes-and-container-platforms,skills/generated/shards/nexus-02/kubernetes-and-container-platforms/SKILL.md
chamber,CLI for managing secrets through AWS SSM Parameter Store,https://github.com/segmentio/chamber,"JSON-RPC/WebSocket, CLI/stdin-stdout",Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b04-security-network-forensics,skills/generated/shards/nexus-04/b04-security-network-forensics/SKILL.md
chart-releaser,Hosting Helm Charts via GitHub Pages and Releases,https://github.com/helm/chart-releaser/,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b08-bio-shell-devops-audio,skills/generated/shards/nexus-08/b08-bio-shell-devops-audio/SKILL.md
cilium-cli,"CLI to install, manage & troubleshoot Kubernetes clusters running Cilium",https://cilium.io,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,kubernetes-and-container-platforms,skills/generated/shards/nexus-02/kubernetes-and-container-platforms/SKILL.md
click,Command-line interactive controller for Kubernetes,https://github.com/databricks/click,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b08-shell-docs-mail-ops,skills/generated/shards/nexus-08/b08-shell-docs-mail-ops/SKILL.md
cloudfoundry-cli,Official command-line client for Cloud Foundry,https://docs.cloudfoundry.org/cf-cli,"HTTPS/REST, CLI/stdin-stdout",Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b09-typesetting-fleet-runtime-web,skills/generated/shards/nexus-09/b09-typesetting-fleet-runtime-web/SKILL.md
cloudsplaining,AWS IAM Security Assessment tool,https://cloudsplaining.readthedocs.io/en/latest/,"JSON-RPC/WebSocket, CLI/stdin-stdout",Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b08-web-audit-build-security,skills/generated/shards/nexus-08/b08-web-audit-build-security/SKILL.md
clusterawsadm,"Home for bootstrapping, AMI, EKS, and other helpers in Cluster API Provider AWS",https://cluster-api-aws.sigs.k8s.io/clusterawsadm/clusterawsadm.html,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b07-remote-runtime-infra,skills/generated/shards/nexus-07/b07-remote-runtime-infra/SKILL.md
container-compose,Manage Apple Container with Docker Compose files,https://github.com/mcrich23/container-compose,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b07-config-template-security,skills/generated/shards/nexus-07/b07-config-template-security/SKILL.md
copilot,CLI tool for Amazon ECS and AWS Fargate,https://aws.github.io/copilot-cli/,"JSON-RPC/WebSocket, CLI/stdin-stdout",Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b04-cloud-platform-devops,skills/generated/shards/nexus-04/b04-cloud-platform-devops/SKILL.md
crun,Fast and lightweight fully featured OCI runtime and C library,https://github.com/containers/crun,"Local library API/ABI, CLI/stdin-stdout",Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b04-build-languages-runtimes,skills/generated/shards/nexus-04/b04-build-languages-runtimes/SKILL.md
ctlptl,Making local Kubernetes clusters fun and easy to set up,https://github.com/tilt-dev/ctlptl,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,kubernetes-and-container-platforms,skills/generated/shards/nexus-02/kubernetes-and-container-platforms/SKILL.md
devspace,CLI helps develop/deploy/debug apps with Docker and k8s,https://devspace.sh/,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b04-cloud-platform-devops,skills/generated/shards/nexus-04/b04-cloud-platform-devops/SKILL.md
diffoci,Diff for Docker and OCI container images,https://github.com/reproducible-containers/diffoci,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b09-benchmark-messaging-containers-crypto,skills/generated/shards/nexus-09/b09-benchmark-messaging-containers-crypto/SKILL.md
dive,Tool for exploring each layer in a docker image,https://github.com/wagoodman/dive,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,kubernetes-and-container-platforms,skills/generated/shards/nexus-02/kubernetes-and-container-platforms/SKILL.md
docker-completion,"Bash, Zsh and Fish completion for Docker",https://www.docker.com/,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,kubernetes-and-container-platforms,skills/generated/shards/nexus-02/kubernetes-and-container-platforms/SKILL.md
docker-gen,Generate files from docker container metadata,https://github.com/nginx-proxy/docker-gen,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b09-parallel-qt-supabase-database,skills/generated/shards/nexus-09/b09-parallel-qt-supabase-database/SKILL.md
docker-ls,Tools for browsing and manipulating docker registries,https://github.com/mayflower/docker-ls,CLI/stdin-stdout,Account/session credentials,yes,no,Confirm account credentials/session context are configured before execution.,1,b09-emulation-math-qt-dataflow,skills/generated/shards/nexus-09/b09-emulation-math-qt-dataflow/SKILL.md
