rank,tool,access,description,homepage,license
4628,gitmux,local-installable,Git status in tmux status bar,https://github.com/arl/gitmux,MIT
4629,ltex-ls-plus,local-installable,LTeX+ Language Server: maintained fork of LTeX Language Server,https://ltex-plus.github.io/ltex-plus/,MPL-2.0
4630,mdf2iso,local-installable,Tool to convert MDF (Alcohol 120% images) images to ISO images,https://packages.debian.org/sid/mdf2iso,GPL-2.0-or-later
4631,htmlhint,local-installable,Static code analysis tool you need for your HTML,https://github.com/htmlhint/HTMLHint,MIT
4632,rip2,local-installable,Safe and ergonomic alternative to rm,https://github.com/MilesCranmer/rip2,GPL-3.0-or-later
4634,cyclonedx-python,local-installable,Creates CycloneDX Software Bill of Materials (SBOM) from Python projects,https://cyclonedx.org/,Apache-2.0
4635,nak,local-installable,CLI for doing all things nostr,https://github.com/fiatjaf/nak,Unlicense
4636,rpl,local-installable,Text replacement utility,https://github.com/rrthomas/rpl,GPL-3.0-or-later
4638,audiowaveform,local-installable,Generate waveform data and render waveform images from audio files,https://codeberg.org/chrisn/audiowaveform,GPL-3.0-only
4639,uhubctl,local-installable,USB hub per-port power control,https://github.com/mvp/uhubctl,GPL-2.0-only
4640,cargo-deny,local-installable,Cargo plugin for linting your dependencies,https://github.com/EmbarkStudios/cargo-deny,Apache-2.0 OR MIT
4641,sipsak,local-installable,SIP Swiss army knife,https://github.com/nils-ohlmeier/sipsak/,GPL-2.0-or-later
4642,libzdb,local-installable,Database connection pool library,https://tildeslash.com/libzdb/,GPL-3.0-only
4643,soapyhackrf,local-installable,SoapySDR HackRF module,https://github.com/pothosware/SoapyHackRF/wiki,MIT
4644,libupnp,local-installable,Portable UPnP development kit,https://pupnp.sourceforge.io/,BSD-3-Clause
4645,libzim,local-installable,Reference implementation of the ZIM specification,https://github.com/openzim/libzim,GPL-2.0-or-later
4646,policy_sentry,local-installable,Generate locked-down AWS IAM Policies,https://policy-sentry.readthedocs.io/en/latest/,MIT
4647,go-blueprint,local-installable,CLI to streamline Go project setup with standardized structure,https://docs.go-blueprint.dev/,MIT
4648,papilo,local-installable,Parallel Presolve for Integer and Linear Optimization,https://www.scipopt.org,Apache-2.0
4650,abi3audit,local-installable,Scans Python packages for abi3 violations and inconsistencies,https://github.com/pypa/abi3audit,MIT
4651,rtags,local-installable,Source code cross-referencer like ctags with a clang frontend,https://github.com/Andersbakken/rtags,GPL-3.0-or-later
4652,aspcud,local-installable,Package dependency solver,https://potassco.org/aspcud/,MIT
4653,libxml++,local-installable,C++ wrapper for libxml,https://libxmlplusplus.sourceforge.net/,LGPL-2.1-or-later
4654,ooniprobe,local-installable,Network interference detection tool,https://ooni.org/,GPL-3.0-or-later
4655,forbidden,local-installable,Bypass 4xx HTTP response status codes and more,https://github.com/ivan-sincek/forbidden,MIT
4657,rtmidi,local-installable,API for realtime MIDI input/output,https://github.com/thestk/rtmidi,MIT
