rank,tool,installs_365d,percent_365d,access,description,homepage,license
1010,gitlab-ci-local,8910,0.01,local-installable,Run gitlab pipelines locally as shell executor or docker executor,https://github.com/firecow/gitlab-ci-local,MIT
1011,iblinter,8909,0.01,local-installable,Linter tool for Interface Builder,https://github.com/IBDecodable/IBLinter,MIT
1017,prek,8819,0.01,local-installable,Pre-commit re-implemented in Rust,https://github.com/j178/prek,MIT
1019,stripe-cli,8814,0.01,local-installable,Command-line tool for Stripe,https://docs.stripe.com/stripe-cli,Apache-2.0
1032,buildkit,8696,0.01,local-installable,"Concurrent, cache-efficient, and Dockerfile-agnostic builder toolkit",https://github.com/moby/buildkit,Apache-2.0
1033,dagger,8695,0.01,local-installable,Portable devkit for CI/CD pipelines,https://dagger.io,Apache-2.0
1035,astro,8664,0.01,local-installable,To build and run Airflow DAGs locally and interact with the Astronomer API,https://www.astronomer.io/,Apache-2.0
1057,ghq,8361,0.01,local-installable,Remote repository management made easy,https://github.com/x-motemen/ghq,MIT
1059,task,8350,0.01,local-installable,Feature-rich console based todo list manager,https://taskwarrior.org/,MIT
1062,licenseplist,8278,0.01,local-installable,License list generator of all your dependencies for iOS applications,https://www.slideshare.net/mono0926/licenseplist-a-license-list-generator-of-all-your-dependencies-for-ios-applications,MIT
1072,git-svn,8168,0.01,local-installable,Bidirectional operation between a Subversion repository and Git,https://git-scm.com,GPL-2.0-only
1078,entr,8074,0.01,local-installable,Run arbitrary commands when files change,https://eradman.com/entrproject/,ISC
1088,netlify-cli,7934,0.01,local-installable,Netlify command-line tool,https://www.netlify.com/docs/cli,MIT
1092,gitversion,7894,0.01,local-installable,Easy semantic versioning for projects using Git,https://gitversion.net/docs/,MIT
1104,nx,7771,0.01,local-installable,"Smart, Fast and Extensible Build System",https://nx.dev,MIT
1110,python-packaging,7690,0.01,local-installable,Core utilities for Python packages,https://packaging.pypa.io/,Apache-2.0 OR BSD-2-Clause
1137,cpanminus,7361,0.01,local-installable,"Get, unpack, build, and install modules from CPAN",https://github.com/miyagawa/cpanminus,Artistic-1.0-Perl OR GPL-1.0-or-later
1169,cdxgen,7018,0.01,local-installable,Creates CycloneDX Software Bill-of-Materials (SBOM) for projects,https://github.com/CycloneDX/cdxgen,Apache-2.0
1181,watchexec,6922,0.01,local-installable,Execute commands when watched files change,https://watchexec.github.io/,Apache-2.0
1193,webpack,6745,0.01,local-installable,Bundler for JavaScript and friends,https://webpack.js.org/,MIT
1196,pyinstaller,6722,0.01,local-installable,Bundle a Python application and all its dependencies,https://pyinstaller.org/,GPL-2.0-or-later
1246,hatch,6298,0.01,local-installable,"Modern, extensible Python project management",https://hatch.pypa.io/latest/,MIT
1275,wp-cli,6007,0.01,local-installable,Command-line interface for WordPress,https://wp-cli.org/,MIT
1281,git-extras,5953,0.01,local-installable,Small git utilities,https://github.com/tj/git-extras,MIT
1289,jira-cli,5860,0.01,local-installable,Feature-rich interactive Jira CLI,https://github.com/ankitpokhrel/jira-cli,MIT
1294,gradle@7,5828,0.01,local-installable,Open-source build automation tool based on the Groovy and Kotlin DSL,https://www.gradle.org/,Apache-2.0
1303,esbuild,5723,0.01,local-installable,Extremely fast JavaScript bundler and minifier,https://esbuild.github.io/,MIT
1305,gource,5720,0.01,local-installable,Version Control Visualization Tool,https://gource.io/,GPL-3.0-or-later
1316,bitrise,5660,0.01,local-installable,Command-line automation tool,https://github.com/bitrise-io/bitrise,MIT
1376,gradle@8,5184,0.01,local-installable,Open-source build automation tool based on the Groovy and Kotlin DSL,https://www.gradle.org/,Apache-2.0
1446,melange,4733,0,local-installable,Build APKs from source code,https://github.com/chainguard-dev/melange,Apache-2.0
1448,git-flow-avh,4732,0,local-installable,AVH edition of git-flow,https://github.com/petervanderdoes/gitflow-avh,BSD-2-Clause
1455,fern-api,4707,0,local-installable,Stripe-level SDKs and Docs for your API,https://buildwithfern.com/,Apache-2.0
1463,git-town,4659,0,local-installable,High-level command-line interface for Git,https://www.git-town.com/,MIT
1474,specify,4567,0,local-installable,Toolkit to help you get started with Spec-Driven Development,https://github.com/github/spec-kit,MIT
1496,onefetch,4361,0,local-installable,Command-line Git information tool,https://onefetch.dev/,MIT
