rank,tool,access,description,homepage,license
4326,mmv,local-installable,"Move, copy, append, and link multiple files",https://github.com/rrthomas/mmv,GPL-3.0-or-later
4327,cpuid,local-installable,CPU feature identification for Go,https://github.com/klauspost/cpuid,MIT
4329,davix,local-installable,Library and tools for advanced file I/O with HTTP-based protocols,https://github.com/cern-fts/davix,LGPL-2.1-or-later
4331,autobrr,local-installable,"Modern, easy to use download automation for torrents and usenet",https://autobrr.com/,GPL-2.0-or-later
4333,stp,local-installable,"Simple Theorem Prover, an efficient SMT solver for bitvectors",https://stp.github.io/,MIT
4334,libjson-rpc-cpp,local-installable,C++ framework for json-rpc,https://github.com/cinemast/libjson-rpc-cpp,MIT
4335,zig@0.14,local-installable,"Programming language designed for robustness, optimality, and clarity",https://ziglang.org/,MIT
4336,qtwebview,local-installable,Displays web content in a QML application,https://www.qt.io/,(LGPL-3.0-only OR GPL-2.0-only OR GPL-3.0-only) AND BSD-3-Clause
4337,gensio,local-installable,Stream I/O Library,https://github.com/cminyard/gensio,LGPL-2.1-only AND GPL-2.0-only AND Apache-2.0
4338,pdnsrec,local-installable,Non-authoritative/recursing DNS server,https://www.powerdns.com/powerdns-recursor,GPL-2.0-only WITH openvpn-openssl-exception
4341,dbus-glib,local-installable,GLib bindings for the D-Bus message bus system,https://wiki.freedesktop.org/www/Software/DBusBindings/,GPL-2.0-or-later AND (AFL-2.1 OR GPL-2.0-or-later)
4342,petsc-complex,local-installable,"Portable, Extensible Toolkit for Scientific Computation (complex)",https://petsc.org/,BSD-2-Clause
4344,qtwebchannel,local-installable,Bridges the gap between Qt applications and HTML/JavaScript,https://www.qt.io/,(LGPL-3.0-only OR GPL-2.0-only OR GPL-3.0-only) AND BSD-3-Clause
4345,logstalgia,local-installable,Web server access log visualizer with retro style,https://logstalgia.io/,GPL-3.0-or-later
4346,chocolate-doom,local-installable,Accurate source port of Doom,https://www.chocolate-doom.org/,GPL-2.0-only
4347,jscpd,local-installable,Copy/paste detector for programming source code,https://github.com/kucherenko/jscpd,MIT
4348,qtserialbus,local-installable,Provides access to serial industrial bus interfaces,https://www.qt.io/,(LGPL-3.0-only OR GPL-2.0-only OR GPL-3.0-only) AND (GPL-3.0-only WITH Qt-GPL-exception-1.0) AND BSD-3-Clause
4349,lpeg,local-installable,Parsing Expression Grammars For Lua,https://www.inf.puc-rio.br/~roberto/lpeg/,MIT
4350,qtgraphs,local-installable,Provides functionality for 2D and 3D graphs,https://www.qt.io/,GPL-3.0-only AND BSD-3-Clause
4351,xgo,local-installable,AI-native programming language that integrates software engineering,https://xgo.dev/,Apache-2.0
4353,sextractor,local-installable,Extract catalogs of sources from astronomical images,https://www.astromatic.net/software/sextractor/,GPL-3.0-or-later
4354,lensfun,local-installable,Remove defects from digital images,https://lensfun.github.io/,LGPL-3.0-only AND GPL-3.0-only AND CC-BY-3.0 AND LicenseRef-Homebrew-public-domain
4355,ttfautohint,local-installable,Auto-hinter for TrueType fonts,https://www.freetype.org/ttfautohint/,FTL OR GPL-2.0-or-later
4356,serve,local-installable,Static http server anywhere you need one,https://github.com/syntaqx/serve,MIT
4357,pidcat,local-installable,Colored logcat script to show entries only for specified app,https://github.com/JakeWharton/pidcat,Apache-2.0
4358,reorder-python-imports,local-installable,Rewrites source to reorder python imports,https://github.com/asottile/reorder-python-imports,MIT
