rank,tool,installs_365d,percent_365d,access,description,homepage,license
1015,pwgen,8834,0.01,local-installable,Password generator,https://pwgen.sourceforge.net/,GPL-2.0-only
1044,hydra,8503,0.01,local-installable,Network logon cracker which supports many services,https://github.com/vanhauser-thc/thc-hydra,AGPL-3.0-only
1070,exploitdb,8178,0.01,local-installable,Database of public exploits and corresponding vulnerable software,https://www.exploit-db.com/,GPL-2.0-or-later
1077,subfinder,8106,0.01,local-installable,Subdomain discovery tool,https://github.com/projectdiscovery/subfinder,MIT
1121,john,7529,0.01,local-installable,Featureful UNIX password cracker,https://www.openwall.com/john/,GPL-2.0-or-later
1124,openssl@3.0,7451,0.01,local-installable,Cryptography and SSL/TLS Toolkit,https://openssl-library.org,Apache-2.0
1138,libb2,7348,0.01,local-installable,Secure hashing function,https://blake2.net/,CC0-1.0
1172,prowler,7002,0.01,local-installable,"Tool for cloud security assessments, audits, incident response, and more",https://prowler.com/,Apache-2.0
1177,oath-toolkit,6974,0.01,local-installable,Tools for one-time password authentication systems,https://www.nongnu.org/oath-toolkit/,GPL-3.0-or-later AND LGPL-2.1-or-later
1192,proxychains-ng,6755,0.01,local-installable,Hook preloader,https://github.com/rofl0r/proxychains-ng,GPL-2.0-or-later
1197,ggshield,6720,0.01,local-installable,Scanner for secrets and sensitive data in code,https://www.gitguardian.com,MIT
1217,xray,6535,0.01,local-installable,Platform for building proxies to bypass network restrictions,https://xtls.github.io/,MPL-2.0 AND CC-BY-SA-4.0
1232,nikto,6413,0.01,local-installable,Web server scanner,https://cirt.net/nikto/,GPL-3.0-only
1235,detect-secrets,6377,0.01,local-installable,Enterprise friendly way of detecting and preventing secrets in code,https://github.com/Yelp/detect-secrets,Apache-2.0
1236,bettercap,6372,0.01,local-installable,Swiss army knife for network attacks and monitoring,https://www.bettercap.org/,GPL-3.0-only
1248,openfortivpn,6269,0.01,local-installable,Open Fortinet client for PPP+TLS VPN tunnel services,https://github.com/adrienverge/openfortivpn,GPL-3.0-or-later WITH openvpn-openssl-exception
1266,v2ray,6134,0.01,local-installable,Platform for building proxies to bypass network restrictions,https://v2fly.org/,MIT AND CC-BY-SA-4.0
1274,john-jumbo,6031,0.01,local-installable,"Enhanced version of john, a UNIX password cracker",https://www.openwall.com/john/,GPL-2.0-or-later
1283,sherlock,5915,0.01,local-installable,Hunt down social media accounts by username,https://github.com/sherlock-project/sherlock,MIT
1288,pass,5871,0.01,local-installable,Password manager,https://www.passwordstore.org/,GPL-2.0-or-later
1314,libressl,5665,0.01,local-installable,Version of the SSL/TLS protocol forked from OpenSSL,https://www.libressl.org/,OpenSSL
1315,git-secret,5664,0.01,local-installable,Bash-tool to store the private data inside a git repo,https://sobolevn.me/git-secret,MIT
1326,ffuf,5535,0.01,local-installable,Fast web fuzzer written in Go,https://github.com/ffuf/ffuf,MIT
1356,keychain,5345,0.01,local-installable,User-friendly front-end to ssh-agent(1),https://www.funtoo.org/Keychain,GPL-2.0-only
1357,yubico-piv-tool,5334,0.01,local-installable,Command-line tool for the YubiKey PIV application,https://developers.yubico.com/yubico-piv-tool/,BSD-2-Clause
1396,opensc,5037,0.01,local-installable,Tools and libraries for smart cards,https://github.com/OpenSC/OpenSC/wiki,LGPL-2.1-or-later
1398,testssl,5025,0.01,local-installable,Tool which checks for the support of TLS/SSL ciphers and flaws,https://testssl.sh/,GPL-2.0-only
1420,cycode,4902,0.01,local-installable,"Boost security in your dev lifecycle via SAST, SCA, Secrets & IaC scanning",https://github.com/cycodehq/cycode-cli,MIT
1426,yara,4859,0.01,local-installable,Malware identification and classification tool,https://github.com/VirusTotal/yara/,BSD-3-Clause
1428,minisign,4847,0.01,local-installable,Sign files & verify signatures. Works with signify in OpenBSD,https://jedisct1.github.io/minisign/,ISC
1432,sslscan,4820,0,local-installable,Test SSL/TLS enabled services to discover supported cipher suites,https://github.com/rbsec/sslscan,GPL-3.0-or-later WITH openvpn-openssl-exception
1442,libtasn1,4752,0,local-installable,ASN.1 structure parser library,https://www.gnu.org/software/libtasn1/,LGPL-2.1-or-later
1449,amass,4720,0,local-installable,In-depth attack surface mapping and asset discovery,https://owasp.org/www-project-amass/,Apache-2.0
1452,keyring,4713,0,local-installable,Easy way to access the system keyring service from python,https://github.com/jaraco/keyring,MIT
1468,theharvester,4606,0,local-installable,Gather materials from public sources (for pen testers),https://www.edge-security.com,GPL-2.0-only
1475,slackdump,4539,0,local-installable,Export Slack data without admin privileges,https://github.com/rusq/slackdump,AGPL-3.0-only
