rank,tool,access,description,homepage,license
3545,lighthouse,local-installable,Rust Ethereum 2.0 Client,https://lighthouse.sigmaprime.io/,Apache-2.0
3546,safety,local-installable,Checks Python dependencies for known vulnerabilities and suggests remediations,https://safetycli.com/product/safety-cli,MIT
3547,pyqt-builder,local-installable,Tool to build PyQt,https://pyqt-builder.readthedocs.io/,BSD-2-Clause
3549,cloudsplaining,local-installable,AWS IAM Security Assessment tool,https://cloudsplaining.readthedocs.io/en/latest/,BSD-3-Clause
3550,gci,local-installable,Control Golang package import order and make it always deterministic,https://github.com/daixiang0/gci,BSD-3-Clause
3551,sftpgo,local-installable,"Fully featured SFTP server with optional HTTP/S, FTP/S and WebDAV support",https://sftpgo.com/,AGPL-3.0-only
3553,x86_64-elf-gdb,local-installable,GNU debugger for x86_64-elf cross development,https://www.gnu.org/software/gdb/,GPL-3.0-or-later
3554,claws-mail,local-installable,"User-friendly, lightweight, and fast email client",https://www.claws-mail.org/,GPL-3.0-or-later
3555,dooit,local-installable,TUI todo manager,https://github.com/dooit-org/dooit,MIT
3557,jhipster,local-installable,"Generate, develop and deploy Spring Boot + Angular/React applications",https://www.jhipster.tech/,Apache-2.0
3558,templ,local-installable,Language for writing HTML user interfaces in Go,https://templ.guide,MIT
3561,f2,local-installable,Command-line batch renaming tool,https://github.com/ayoisaiah/f2,MIT
3562,i2p,local-installable,Anonymous overlay network - a network within a network,https://geti2p.net,LicenseRef-Homebrew-cannot-represent
3563,ykpers,local-installable,YubiKey personalization library and tool,https://developers.yubico.com/yubikey-personalization/,BSD-2-Clause
3564,spectral-cli,local-installable,"JSON/YAML linter and support OpenAPI v3.1/v3.0/v2.0, and AsyncAPI v2.x",https://stoplight.io/open-source/spectral,MIT
3565,detox,local-installable,Utility to replace problematic characters in filenames,https://detox.sourceforge.net/,BSD-3-Clause
3568,opencore-amr,local-installable,Audio codecs extracted from Android open source project,https://opencore-amr.sourceforge.net/,Apache-2.0
3569,dub,local-installable,Build tool for D projects,https://code.dlang.org/getting_started,MIT
3570,berkeley-db@5,local-installable,High performance key/value database,https://www.oracle.com/database/technologies/related/berkeleydb.html,Sleepycat
3571,osrm-backend,local-installable,High performance routing engine,https://project-osrm.org/,BSD-2-Clause
3572,pyscn,local-installable,Intelligent Python Code Quality Analyzer,https://github.com/ludo-technologies/pyscn,MIT
3573,pfetch,local-installable,Pretty system information tool written in POSIX sh,https://github.com/dylanaraps/pfetch/,MIT
3574,bower,local-installable,Package manager for the web,https://bower.io/,MIT
3576,maigret,local-installable,Collect a dossier on a person by username from thousands of sites,https://github.com/soxoj/maigret,MIT
3577,blake3,local-installable,C implementation of the BLAKE3 cryptographic hash function,https://github.com/BLAKE3-team/BLAKE3,CC0-1.0 OR Apache-2.0
3579,vineyard,local-installable,In-memory immutable data manager. (Project under CNCF),https://v6d.io,Apache-2.0
