rank,tool,access,description,homepage,license
4935,observerward,local-installable,Web application and service fingerprint identification tool,https://blog.kali-team.cn/projects/observer_ward/,GPL-3.0-only
4936,libcdio,local-installable,Compact Disc Input and Control Library,https://savannah.gnu.org/projects/libcdio/,GPL-3.0-or-later
4937,aws-es-proxy,local-installable,Small proxy between HTTP client and AWS Elasticsearch,https://github.com/abutaha/aws-es-proxy,Apache-2.0
4938,ser2net,local-installable,Allow network connections to serial ports,https://ser2net.sourceforge.net/,GPL-2.0-only
4939,dmenu,local-installable,Dynamic menu for X11,https://tools.suckless.org/dmenu/,MIT
4941,xboard,local-installable,Graphical user interface for chess,https://www.gnu.org/software/xboard/,GPL-3.0-or-later
4942,autocannon,local-installable,Fast HTTP/1.1 benchmarking tool written in Node.js,https://github.com/mcollina/autocannon,MIT
4943,libserdes,local-installable,Schema ser/deserializer lib for Avro + Confluent Schema Registry,https://github.com/confluentinc/libserdes,Apache-2.0
4945,smartdns,local-installable,"Rule-based DNS server for fast IP resolution, DoT/DoQ/DoH/DoH3 supported",https://github.com/mokeyish/smartdns-rs,GPL-3.0-only
4946,vapoursynth-imwri,local-installable,VapourSynth filters - ImageMagick HDRI writer/reader,https://github.com/vapoursynth/vs-imwri,LGPL-2.1-or-later
4947,baidupcs-go,local-installable,Terminal utility for Baidu Network Disk,https://github.com/qjfoidnh/BaiduPCS-Go,Apache-2.0
4948,netcdf-cxx,local-installable,C++ libraries and utilities for NetCDF,https://www.unidata.ucar.edu/software/netcdf/,NetCDF
4949,cadence-workflow,local-installable,"Distributed, scalable, durable, and highly available orchestration engine",https://cadenceworkflow.io/,Apache-2.0
4950,torrra,local-installable,Find and download torrents without leaving your CLI,https://torrra.readthedocs.io/en/latest/,MIT
4951,libgedit-gfls,local-installable,Gedit Technology - File loading and saving,https://gitlab.gnome.org/World/gedit/libgedit-gfls,LGPL-3.0-or-later
4952,autorest,local-installable,Swagger (OpenAPI) Specification code generator,https://github.com/Azure/autorest,MIT
4954,plutobook,local-installable,Paged HTML Rendering Library,https://github.com/plutoprint/plutobook,MPL-2.0
4957,garnet,local-installable,High-performance cache-store,https://microsoft.github.io/garnet/,MIT
4958,pioneers,local-installable,Settlers of Catan clone,https://pio.sourceforge.net/,GPL-2.0-or-later
4959,libsql,local-installable,"Fork of SQLite that is both Open Source, and Open Contributions",https://turso.tech/libsql,MIT
4960,gssdp,local-installable,GUPnP library for resource discovery and announcement over SSDP,https://wiki.gnome.org/GUPnP/,LGPL-2.1-or-later
4961,geocode-glib,local-installable,GNOME library for gecoding and reverse geocoding,https://gitlab.gnome.org/GNOME/geocode-glib,GPL-2.0-or-later
4962,countdown,local-installable,Terminal countdown timer,https://github.com/antonmedv/countdown,MIT
4963,websocketpp,local-installable,WebSocket++ is a cross platform header only C++ library,https://www.zaphoyd.com/websocketpp,BSD-3-Clause
4964,cidr,local-installable,CLI to perform various actions on CIDR ranges,https://github.com/bschaatsbergen/cidr,MIT
4966,fence,local-installable,Lightweight sandbox for commands with network and filesystem restrictions,https://github.com/Use-Tusk/fence,Apache-2.0
