rank,tool,access,description,homepage,license
4658,rsyncy,local-installable,Status/progress bar for rsync,https://github.com/laktak/rsyncy,MIT
4659,bento,local-installable,Fancy stream processing made operationally mundane,https://warpstreamlabs.github.io/bento/,MIT
4660,clickhouse-odbc,local-installable,Official ODBC driver implementation for accessing ClickHouse as a data source,https://github.com/ClickHouse/clickhouse-odbc,Apache-2.0
4661,basti,local-installable,"Securely connect to RDS, Elasticache, and other AWS resources in VPCs",https://github.com/basti-app/basti,MIT
4662,eslint_d,local-installable,Speed up eslint to accelerate your development workflow,https://github.com/mantoni/eslint_d.js,MIT
4663,procmail,local-installable,Autonomous mail processor,https://github.com/BuGlessRB/procmail,GPL-2.0-or-later OR Artistic-1.0-Perl
4664,storm,local-installable,Distributed realtime computation system to process data streams,https://storm.apache.org,Apache-2.0
4665,totp-cli,local-installable,Authy/Google Authenticator like TOTP CLI tool written in Go,https://yitsushi.github.io/totp-cli/,MIT
4668,aws-c-cal,local-installable,AWS Crypto Abstraction Layer,https://github.com/awslabs/aws-c-cal,Apache-2.0
4669,chuck,local-installable,"Concurrent, on-the-fly audio programming language",https://chuck.cs.princeton.edu/,GPL-2.0-or-later
4670,swiftdraw,local-installable,"Convert SVG into PDF, PNG, JPEG or SF Symbol",https://github.com/swhitty/SwiftDraw,Zlib
4671,pjproject,local-installable,"C library for multimedia protocols such as SIP, SDP, RTP and more",https://www.pjsip.org/,GPL-2.0-or-later
4672,ent,local-installable,Pseudorandom number sequence test program,https://www.fourmilab.ch/random/,LicenseRef-Homebrew-public-domain
4673,spot,local-installable,Platform for LTL and ω-automata manipulation,https://spot.lre.epita.fr,GPL-3.0-or-later
4674,di,local-installable,Advanced df-like disk information utility,https://diskinfo-di.sourceforge.io/,Zlib
4675,tvnamer,local-installable,Automatic TV episode file renamer that uses data from thetvdb.com,https://github.com/dbr/tvnamer,Unlicense
4677,ferron,local-installable,"Fast, memory-safe web server written in Rust",https://www.ferronweb.org/,MIT
4679,proguard,local-installable,"Java class file shrinker, optimizer, and obfuscator",https://www.guardsquare.com/en/products/proguard,GPL-2.0-or-later
4680,c-blosc2,local-installable,"Fast, compressed, persistent binary data store library for C",https://www.blosc.org,BSD-3-Clause
4682,gotests,local-installable,Automatically generate Go test boilerplate from your source code,https://github.com/cweill/gotests,Apache-2.0
4683,kosli-cli,local-installable,CLI for managing Kosli,https://docs.kosli.com/client_reference/,MIT
4684,usb.ids,local-installable,"Repository of vendor, device, subsystem and device class IDs used in USB devices",http://www.linux-usb.org/usb-ids.html,GPL-2.0-or-later OR BSD-3-Clause
4686,fabric-installer,local-installable,Installer for Fabric for the vanilla launcher,https://fabricmc.net/,Apache-2.0
4687,nextflow,local-installable,Reproducible scientific workflows,https://nextflow.io,Apache-2.0
4689,dar,local-installable,Backup directory tree and files,http://dar.linux.free.fr/doc/index.html,GPL-2.0-or-later
4690,ephemeralpg,local-installable,"Run tests on an isolated, temporary Postgres database",https://eradman.com/ephemeralpg/,ISC
