rank,tool,installs_365d,percent_365d,access,description,homepage,license
1003,gnu-time,9063,0.01,local-installable,GNU implementation of time utility,https://www.gnu.org/software/time/,GPL-3.0-or-later
1025,qcachegrind,8756,0.01,local-installable,Visualize data generated by Cachegrind and Calltree,https://apps.kde.org/kcachegrind/,GPL-2.0-or-later
1034,locust,8684,0.01,local-installable,Scalable user load testing tool written in Python,https://locust.io/,MIT
1143,witr,7297,0.01,local-installable,Why is this running?,https://github.com/pranshuparmar/witr,Apache-2.0
1173,gcovr,6997,0.01,local-installable,Reports from gcov test coverage program,https://gcovr.com/,BSD-3-Clause
1175,gdu,6978,0.01,local-installable,Disk usage analyzer with console interface written in Go,https://github.com/dundee/gdu,MIT
1190,wrk,6765,0.01,local-installable,HTTP benchmarking tool,https://github.com/wg/wrk,LicenseRef-Homebrew-cannot-represent
1191,hey,6760,0.01,local-installable,"HTTP load generator, ApacheBench (ab) replacement",https://github.com/rakyll/hey,Apache-2.0
1205,iperf,6633,0.01,local-installable,Tool to measure maximum TCP and UDP bandwidth,https://sourceforge.net/projects/iperf2/,BSD-3-Clause
1209,telegraf,6581,0.01,local-installable,Plugin-driven server agent for collecting & reporting metrics,https://www.influxdata.com/time-series-platform/telegraf/,MIT
1215,gping,6543,0.01,local-installable,"Ping, but with a graph",https://github.com/orf/gping,MIT
1247,nvtop,6274,0.01,local-installable,Interactive GPU process monitor,https://github.com/Syllo/nvtop,GPL-3.0-or-later
1286,osx-cpu-temp,5899,0.01,local-installable,Outputs current CPU temperature for OSX,https://github.com/lavoiesl/osx-cpu-temp,GPL-2.0-or-later
1287,netdata,5887,0.01,local-installable,"Diagnose infrastructure problems with metrics, visualizations & alarms",https://www.netdata.cloud/,GPL-3.0-or-later
1336,baobab,5488,0.01,local-installable,Gnome disk usage analyzer,https://apps.gnome.org/Baobab/,GPL-2.0-or-later
1341,fluent-bit,5422,0.01,local-installable,Fast and Lightweight Logs and Metrics processor,https://github.com/fluent/fluent-bit,Apache-2.0
1381,oha,5140,0.01,local-installable,"HTTP load generator, inspired by rakyll/hey with tui animation",https://github.com/hatoo/oha/,MIT
1388,iftop,5096,0.01,local-installable,Display an interface's bandwidth usage,https://pdw.ex-parrot.com/iftop/,GPL-2.0-or-later
1395,ccusage,5040,0.01,local-installable,CLI tool for analyzing Claude Code usage from local JSONL files,https://github.com/ryoppippi/ccusage,MIT
1400,fio,5016,0.01,local-installable,I/O benchmark and stress test,https://github.com/axboe/fio,GPL-2.0-only
1409,node_exporter,4993,0.01,local-installable,Prometheus exporter for machine metrics,https://prometheus.io/,Apache-2.0
1416,ctop,4924,0.01,local-installable,Top-like interface for container metrics,https://bcicen.github.io/ctop/,MIT
1419,newrelic-cli,4914,0.01,local-installable,Command-line interface for New Relic,https://github.com/newrelic/newrelic-cli,Apache-2.0
