rank,tool,description,access,license,homepage
535,libgit2,C library of Git core methods that is re-entrant and linkable,local-installable,GPL-2.0-only WITH GCC-exception-2.0,https://libgit2.org/
545,lychee,"Fast, async, resource-friendly link checker",local-installable,Apache-2.0 OR MIT,https://lychee.cli.rs/
564,circleci,Enables you to reproduce the CircleCI environment locally,local-installable,MIT,https://circleci.com/docs/guides/toolkit/local-cli/
575,gitlab-runner,Official GitLab CI runner,local-installable,MIT,https://gitlab.com/gitlab-org/gitlab-runner
618,renovate,Automated dependency updates. Flexible so you don't need to be,local-installable,AGPL-3.0-only,https://github.com/renovatebot/renovate
620,tig,Text interface for Git repositories,local-installable,GPL-2.0-or-later,https://jonas.github.io/tig/
628,ghr,Upload multiple artifacts to GitHub Release in parallel,local-installable,MIT,https://github.com/tcnksm/ghr
646,git-flow,Extensions to follow Vincent Driessen's branching model,local-installable,BSD-2-Clause,https://github.com/nvie/gitflow
699,sccache,Used as a compiler wrapper and avoids compilation when possible,local-installable,Apache-2.0,https://github.com/mozilla/sccache
711,difftastic,Diff that understands syntax,local-installable,MIT,https://github.com/Wilfred/difftastic
720,commitizen,Defines a standard way of committing rules and communicating it,local-installable,MIT,https://commitizen-tools.github.io/commitizen/
748,bfg,Remove large files or passwords from Git history like git-filter-branch,local-installable,GPL-3.0-or-later,https://rtyley.github.io/bfg-repo-cleaner/
780,lefthook,Fast and powerful Git hooks manager for any type of projects,local-installable,MIT,https://github.com/evilmartians/lefthook
781,fetch,"Download assets from a commit, branch, or tag of GitHub repositories",local-installable,MIT,https://www.gruntwork.io/
889,tokei,"Program that allows you to count code, quickly",local-installable,Apache-2.0 OR MIT,https://github.com/XAMPPRocky/tokei
920,hub,Add GitHub support to git on the command-line,local-installable,MIT,https://hub.github.com/
990,gitui,Blazing fast terminal-ui for git written in rust,local-installable,MIT,https://github.com/gitui-org/gitui
