rank,tool,installs_365d,percent_365d,access,description,homepage,license
1013,m4,8867,0.01,local-installable,Macro processing language,https://www.gnu.org/software/m4/,GPL-3.0-or-later
1018,gleam,8818,0.01,local-installable,Statically typed language for the Erlang VM,https://gleam.run,Apache-2.0
1022,sui,8781,0.01,local-installable,Next-generation smart contract platform powered by the Move programming language,https://sui.io,Apache-2.0
1036,jemalloc,8652,0.01,local-installable,Implementation of malloc emphasizing fragmentation avoidance,https://jemalloc.net/,BSD-2-Clause
1050,onnxruntime,8472,0.01,local-installable,"Cross-platform, high performance scoring engine for ML models",https://github.com/microsoft/onnxruntime,MIT
1055,boost-python3,8381,0.01,local-installable,C++ library for C++/Python3 interoperability,https://www.boost.org/,BSL-1.0
1060,micropython,8286,0.01,local-installable,Python implementation for microcontrollers and constrained systems,https://www.micropython.org/,MIT
1061,crystal,8282,0.01,local-installable,"Fast and statically typed, compiled language with Ruby-like syntax",https://crystal-lang.org/,Apache-2.0
1067,llvm@16,8215,0.01,local-installable,Next-gen compiler infrastructure,https://llvm.org/,Apache-2.0 WITH LLVM-exception
1084,wasmtime,7972,0.01,local-installable,"Standalone JIT-style runtime for WebAssembly, using Cranelift",https://wasmtime.dev/,Apache-2.0 WITH LLVM-exception
1086,swift,7955,0.01,local-installable,High-performance system programming language,https://www.swift.org,Apache-2.0
1093,mpdecimal,7870,0.01,local-installed,Library for decimal floating point arithmetic,https://www.bytereef.org/mpdecimal/,BSD-2-Clause
1113,spdlog,7660,0.01,local-installable,Super fast C++ logging library,https://github.com/gabime/spdlog,MIT
1122,volta,7500,0.01,local-installable,JavaScript toolchain manager for reproducible environments,https://volta.sh,BSD-2-Clause
1126,haskell-stack,7433,0.01,local-installable,Cross-platform program for developing Haskell projects,https://haskellstack.org/,BSD-3-Clause
1127,mpich,7426,0.01,local-installable,Implementation of the MPI Message Passing Interface standard,https://www.mpich.org/,mpich2
1142,maxima,7308,0.01,local-installable,Computer algebra system,https://maxima.sourceforge.io/,GPL-2.0-only
1153,vala,7224,0.01,local-installable,Compiler for the GObject type system,https://wiki.gnome.org/Projects/Vala,LGPL-2.1-or-later
1159,go@1.22,7107,0.01,local-installable,Open source programming language to build simple/reliable/efficient software,https://go.dev/,BSD-3-Clause
