rank,tool,installs_365d,percent_365d,access,description,homepage,license
1005,whois,8996,0.01,local-installable,Lookup tool for domain names and other internet resources,https://github.com/rfc1036/whois,GPL-2.0-or-later
1028,libpcap,8728,0.01,local-installable,Portable library for network traffic capture,https://www.tcpdump.org/,BSD-3-Clause
1038,arp-scan,8585,0.01,local-installable,ARP scanning and fingerprinting tool,https://github.com/royhills/arp-scan,GPL-3.0-or-later AND BSD-3-Clause AND ISC
1041,lsof,8521,0.01,local-installable,Utility to list open files,https://github.com/lsof-org/lsof,lsof
1064,net-snmp,8246,0.01,local-installable,"Implements SNMP v1, v2c, and v3, using IPv4 and IPv6",http://www.net-snmp.org/,MIT-CMU AND MIT AND BSD-3-Clause
1066,http-server,8219,0.01,local-installable,Simple zero-configuration command-line HTTP server,https://github.com/http-party/http-server,MIT
1073,tomcat@9,8167,0.01,local-installable,Implementation of Java Servlet and JavaServer Pages,https://tomcat.apache.org/,Apache-2.0
1109,lsusb,7691,0.01,local-installable,"List USB devices, just like the Linux lsusb command",https://github.com/jlhonora/lsusb,MIT
1135,autossh,7380,0.01,local-installable,Automatically restart SSH sessions and tunnels,https://www.harding.motd.ca/autossh/,BSD-1-Clause
1150,glib-networking,7256,0.01,local-installable,Network related modules for glib,https://gitlab.gnome.org/GNOME/glib-networking,LGPL-2.1-or-later
1194,ldns,6745,0.01,local-installable,DNS library written in C,https://nlnetlabs.nl/projects/ldns/,BSD-3-Clause
1226,zenity,6479,0.01,local-installable,GTK+ dialog boxes for the command-line,https://wiki.gnome.org/Projects/Zenity,LGPL-2.1-or-later
1233,gtk+,6395,0.01,local-installable,GUI toolkit,https://gtk.org/,LGPL-2.0-or-later
1237,xclip,6371,0.01,local-installable,Access X11 clipboards from the command-line,https://github.com/astrand/xclip,GPL-2.0-or-later
1241,squid,6355,0.01,local-installable,"Advanced proxy caching server for HTTP, HTTPS, FTP, and Gopher",https://www.squid-cache.org/,GPL-2.0-or-later
1265,libwebsockets,6136,0.01,local-installable,C websockets server library,https://github.com/warmcat/libwebsockets,MIT
1291,haproxy,5833,0.01,local-installable,"Reliable, high performance TCP/HTTP load balancer",https://www.haproxy.org/,GPL-2.0-or-later WITH openvpn-openssl-exception
1298,envoy,5775,0.01,local-installable,Cloud-native high-performance edge/middle/service proxy,https://www.envoyproxy.io/index.html,Apache-2.0
1310,ncftp,5698,0.01,local-installable,FTP client with an advanced user interface,https://www.ncftp.com/,ClArtistic
1324,xterm,5550,0.01,local-installable,Terminal emulator for the X Window System,https://invisible-island.net/xterm/,X11
1329,tcpdump,5521,0.01,local-installable,Command-line packet analyzer,https://www.tcpdump.org/,BSD-3-Clause
1346,libproxy,5378,0.01,local-installable,Library that provides automatic proxy configuration management,https://libproxy.github.io/libproxy/,LGPL-2.1-or-later
1347,luv,5371,0.01,local-installable,Bare libuv bindings for lua,https://github.com/luvit/luv,Apache-2.0
1349,ipcalc,5366,0.01,local-installable,"Calculate various network masks, etc. from a given IP address",https://jodies.de/ipcalc,GPL-2.0-or-later
1365,doggo,5282,0.01,local-installable,Command-line DNS Client for Humans,https://doggo.mrkaran.dev/,GPL-3.0-or-later
1383,frpc,5126,0.01,local-installable,Client app of fast reverse proxy to expose a local server to the internet,https://github.com/fatedier/frp,Apache-2.0
1385,cups,5109,0.01,local-installable,Common UNIX Printing System,https://github.com/OpenPrinting/cups,Apache-2.0
1391,gspell,5081,0.01,local-installable,Flexible API to implement spellchecking in GTK+ applications,https://gitlab.gnome.org/GNOME/gspell,LGPL-2.1-or-later
1431,fping,4826,0,local-installable,Scriptable ping program for checking if multiple hosts are up,https://fping.org/,BSD-3-Clause
1443,arping,4749,0,local-installable,Utility to check whether MAC addresses are already taken on a LAN,https://github.com/ThomasHabets/arping,GPL-2.0-or-later
1460,miniupnpc,4675,0,local-installable,UPnP IGD client library and daemon,https://miniupnp.tuxfamily.org,BSD-3-Clause
1482,opendht,4473,0,local-installable,C++17 Distributed Hash Table implementation,https://github.com/savoirfairelinux/opendht,MIT
