rank,tool,access,description,homepage,license
3001,ffind,local-installable,Friendlier find,https://github.com/sjl/friendly-find,GPL-3.0-only
3002,autopep8,local-installable,Automatically formats Python code to conform to the PEP 8 style guide,https://github.com/hhatto/autopep8,MIT
3003,sdcc,local-installable,"ANSI C compiler for Intel 8051, Maxim 80DS390, and Zilog Z80",https://sdcc.sourceforge.net/,GPL-2.0-only AND GPL-3.0-only AND LicenseRef-Homebrew-public-domain AND Zlib
3004,onedrive-cli,local-installable,Folder synchronization with OneDrive,https://github.com/abraunegg/onedrive,GPL-3.0-only
3005,dune,local-installable,Composable build system for OCaml,https://dune.build/,MIT
3007,macos-trash,local-installable,Move files and folders to the trash,https://github.com/sindresorhus/macos-trash,MIT
3008,zimfw,local-installable,Zsh plugin manager,https://zimfw.sh,MIT
3010,b3sum,local-installable,Command-line implementation of the BLAKE3 cryptographic hash function,https://github.com/BLAKE3-team/BLAKE3,CC0-1.0 OR Apache-2.0 OR (Apache-2.0 WITH LLVM-exception)
3011,arcade-learning-environment,local-installable,Platform for AI research,https://github.com/Farama-Foundation/Arcade-Learning-Environment,GPL-2.0-only
3013,manticoresearch,local-installable,Open source text search engine,https://manticoresearch.com,GPL-3.0-or-later AND GPL-2.0-only AND (GPL-2.0-only WITH x11vnc-openssl-exception) AND (Unlicense OR MIT)
3015,httptap,local-installable,HTTP request visualizer with phase-by-phase timing breakdown,https://httptap.dev,Apache-2.0
3016,aiven-client,local-installable,Official command-line client for Aiven,https://aiven.io/docs/tools/cli,Apache-2.0
3018,gtksourceview5,local-installable,"Text view with syntax, undo/redo, and text marks",https://projects.gnome.org/gtksourceview/,LGPL-2.1-or-later
3019,multitail,local-installable,Tail multiple files in one terminal simultaneously,https://vanheusden.com/multitail/,MIT
3021,ab-av1,local-installable,"AV1 re-encoding using ffmpeg, svt-av1 & vmaf",https://github.com/alexheretic/ab-av1,MIT
3022,xdg-ninja,local-installable,Check your $HOME for unwanted files and directories,https://github.com/b3nj5m1n/xdg-ninja,MIT
3023,tika,local-installable,Content analysis toolkit,https://tika.apache.org/,Apache-2.0
3025,yoke,local-installable,Helm-inspired infrastructure-as-code package deployer,https://yokecd.github.io/docs/,MIT
3026,llgo,local-installable,Go compiler based on LLVM integrate with the C ecosystem and Python,https://github.com/goplus/llgo,Apache-2.0
3027,rizin,local-installable,UNIX-like reverse engineering framework and command-line toolset,https://rizin.re,LGPL-3.0-only
3028,mac-cleanup-go,local-installable,TUI macOS cleaner that scans caches/logs and lets you select what to delete,https://github.com/2ykwang/mac-cleanup-go,MIT
3029,mbedtls@2,local-installable,Cryptographic & SSL/TLS library,https://tls.mbed.org/,Apache-2.0
3030,md2pdf,local-installable,CLI utility that generates PDF from Markdown,https://github.com/solworktech/md2pdf,MIT
3031,chawan,local-installable,"TUI web browser with CSS, inline image and JavaScript support",https://sr.ht/~bptato/chawan/,Unlicense
3032,cfr-decompiler,local-installable,Yet Another Java Decompiler,https://www.benf.org/other/cfr/,MIT
3033,nlopt,local-installable,Free/open-source library for nonlinear optimization,https://nlopt.readthedocs.io/,MIT
