rank,tool,access,description,homepage,license
3297,aribb24,local-installable,"Library for ARIB STD-B24, decoding JIS 8 bit characters and parsing MPEG-TS",https://code.videolan.org/jeeb/aribb24,LGPL-3.0-only
3298,nanopb,local-installable,C library for encoding and decoding Protocol Buffer messages,https://jpa.kapsi.fi/nanopb/docs/index.html,Zlib
3299,git-trim,local-installable,Trim your git remote tracking branches that are merged or gone,https://github.com/foriequal0/git-trim,MIT
3300,rsgain,local-installable,ReplayGain 2.0 tagging utility,https://github.com/complexlogic/rsgain,BSD-2-Clause
3301,tracy,local-installable,"Real-time, nanosecond resolution frame profiler",https://github.com/wolfpld/tracy,BSD-3-Clause
3302,opencl-headers,local-installable,C language header files for the OpenCL API,https://www.khronos.org/registry/OpenCL/,Apache-2.0
3303,bowtie2,local-installable,Fast and sensitive gapped read aligner,https://bowtie-bio.sourceforge.net/bowtie2/index.shtml,GPL-3.0-or-later
3304,autopsy,local-installable,Graphical interface to Sleuth Kit investigation tools,https://www.sleuthkit.org/autopsy/index.php,GPL-2.0-or-later
3306,west,local-installable,Zephyr meta-tool,https://github.com/zephyrproject-rtos/west,Apache-2.0
3307,enex2notion,local-installable,Import Evernote ENEX files to Notion,https://github.com/vzhd1701/enex2notion,MIT
3308,progress,local-installable,Coreutils progress viewer,https://github.com/Xfennec/progress,GPL-3.0-or-later
3309,ifstat,local-installable,Tool to report network interface bandwidth,http://gael.roualland.free.fr/ifstat/,GPL-2.0-or-later
3310,earthly,local-installable,Build automation tool for the container era,https://earthly.dev/,MPL-2.0
3311,gtkmm4,local-installable,C++ interfaces for GTK+ and GNOME,https://www.gtkmm.org/,LGPL-2.1-or-later
3312,csshx,local-installable,Cluster ssh tool for Terminal.app,https://github.com/brockgr/csshx,Artistic-1.0-Perl OR GPL-1.0-or-later
3313,q,local-installable,"Tiny command-line DNS client with support for UDP, TCP, DoT, DoH, DoQ and ODoH",https://github.com/natesales/q,GPL-3.0-only
3314,goctl,local-installable,Generates server-side and client-side code for web and RPC services,https://go-zero.dev,MIT
3315,codecov-cli,local-installable,Codecov's command-line interface,https://cli.codecov.io/,Apache-2.0
3316,bundler-completion,local-installable,Bash completion for Bundler,https://github.com/mernen/completion-ruby,MIT
3319,makeself,local-installable,Generates a self-extracting compressed tar archive,https://makeself.io/,GPL-2.0-or-later
3320,networkit,local-installable,Performance toolkit for large-scale network analysis,https://networkit.github.io,MIT
3321,ragel,local-installable,State machine compiler,https://www.colm.net/open-source/ragel/,GPL-2.0-or-later
3322,compiledb,local-installable,Generate a Clang compilation database for Make-based build systems,https://github.com/nickdiego/compiledb,GPL-3.0-or-later
3323,eget,local-installable,Easily install prebuilt binaries from GitHub,https://github.com/zyedidia/eget,MIT
3325,gpa,local-installable,Graphical user interface for the GnuPG,https://www.gnupg.org/related_software/gpa/,GPL-3.0-or-later
3326,gnome-builder,local-installable,Develop software for GNOME,https://apps.gnome.org/Builder/,GPL-3.0-or-later
