rank,tool,installs_365d,percent_365d,access,description,homepage,license
1012,helm@3,8871,0.01,local-installable,Kubernetes package manager,https://helm.sh/,Apache-2.0
1065,kube-linter,8221,0.01,local-installable,Static analysis tool for Kubernetes YAML files and Helm charts,https://github.com/stackrox/kube-linter,Apache-2.0
1095,cmctl,7843,0.01,local-installable,Command-line tool to manage cert-manager,https://cert-manager.io,Apache-2.0
1145,kubebuilder,7287,0.01,local-installable,SDK for building Kubernetes APIs using CRDs,https://github.com/kubernetes-sigs/kubebuilder,Apache-2.0
1242,operator-sdk,6350,0.01,local-installable,SDK for building Kubernetes applications,https://sdk.operatorframework.io/,Apache-2.0
1263,kubecolor,6140,0.01,local-installable,Colorize your kubectl output,https://kubecolor.github.io/,MIT
1308,k8sgpt,5709,0.01,local-installable,"Scanning your k8s clusters, diagnosing, and triaging issues in simple English",https://k8sgpt.ai/,Apache-2.0
1317,kube-ps1,5625,0.01,local-installable,Kubernetes prompt info for bash and zsh,https://github.com/jonmosco/kube-ps1,Apache-2.0
1379,kubescape,5152,0.01,local-installable,Kubernetes testing according to Hardening Guidance by NSA and CISA,https://kubescape.io,Apache-2.0
1425,hubble,4861,0.01,local-installable,"Network, Service & Security Observability for Kubernetes using eBPF",https://github.com/cilium/hubble,Apache-2.0
1429,kyverno,4833,0,local-installable,Kubernetes Native Policy Management,https://kyverno.io/,Apache-2.0
1441,clusterctl,4755,0,local-installable,"Home for the Cluster Management API work, a subproject of sig-cluster-lifecycle",https://cluster-api.sigs.k8s.io,Apache-2.0
1444,rancher-cli,4742,0,local-installable,Unified tool to manage your Rancher server,https://github.com/rancher/cli,Apache-2.0
1445,kubie,4741,0,local-installable,Much more powerful alternative to kubectx and kubens,https://sbstp.ca,Zlib
