rank,tool,access,description,homepage,license
4596,qtquicktimeline,local-installable,Enables keyframe-based animations and parameterization,https://www.qt.io/,GPL-3.0-only AND BSD-3-Clause
4597,oils-for-unix,local-installable,Bash-compatible Unix shell with more consistent syntax and semantics,https://oils.pub/,Apache-2.0
4598,victorialogs,local-installable,Open source user-friendly database for logs from VictoriaMetrics,https://docs.victoriametrics.com/victorialogs/,Apache-2.0
4599,diceware,local-installable,Passphrases to remember,https://github.com/ulif/diceware,GPL-3.0-or-later
4600,snakeviz,local-installable,Web-based viewer for Python profiler output,https://jiffyclub.github.io/snakeviz/,BSD-3-Clause
4601,chkbit,local-installable,Check your files for data corruption,https://github.com/laktak/chkbit,MIT
4602,nuxeo,local-installable,Enterprise Content Management,https://nuxeo.github.io/,Apache-2.0
4603,fend,local-installable,Arbitrary-precision unit-aware calculator,https://printfn.github.io/fend,MIT
4604,gtkdatabox,local-installable,Widget for live display of large amounts of changing data,https://sourceforge.net/projects/gtkdatabox/,LGPL-2.1-or-later
4605,cli11,local-installable,Simple and intuitive command-line parser for C++11,https://cliutils.github.io/CLI11/book/,BSD-3-Clause
4607,dcfldd,local-installable,Enhanced version of dd for forensics and security,https://github.com/resurrecting-open-source-projects/dcfldd,GPL-2.0-or-later
4608,hypre,local-installable,Library featuring parallel multigrid methods for grid problems,https://computing.llnl.gov/projects/hypre-scalable-linear-solvers-multigrid-methods,MIT OR Apache-2.0
4609,zsh-autopair,local-installable,Auto-close and delete matching delimiters in zsh,https://github.com/hlissner/zsh-autopair,MIT
4610,obfs4proxy,local-installable,"Pluggable transport proxy for Tor, implementing obfs4",https://gitlab.com/yawning/obfs4,BSD-2-Clause
4614,flamegraph,local-installable,Stack trace visualizer,https://github.com/brendangregg/FlameGraph,CDDL-1.0
4615,tfmigrate,local-installable,Terraform/OpenTofu state migration tool for GitOps,https://github.com/minamijoyo/tfmigrate,MIT
4616,killport,local-installable,Command-line tool to kill processes listening on a specific port,https://github.com/jkfran/killport,MIT
4617,scamper,local-installable,Advanced traceroute and network measurement utility,https://www.caida.org/catalog/software/scamper/,GPL-2.0-only
4618,xleak,local-installable,Terminal Excel viewer with an interactive TUI,https://github.com/bgreenwell/xleak,MIT
4620,packer-completion,local-installable,Bash completion for Packer,https://github.com/mrolli/packer-bash-completion,MIT
4621,iamy,local-installable,AWS IAM import and export tool,https://github.com/99designs/iamy,MIT
4622,cbindgen,local-installable,Project for generating C bindings from Rust code,https://github.com/mozilla/cbindgen,MPL-2.0
4623,eask-cli,local-installable,"CLI for building, running, testing, and managing your Emacs Lisp dependencies",https://emacs-eask.github.io/,GPL-3.0-or-later
4624,gf,local-installable,App development framework of Golang,https://goframe.org,MIT
4625,zabbix-cli,local-installable,CLI tool for interacting with Zabbix monitoring system,https://unioslo.github.io/zabbix-cli/,GPL-3.0-or-later
4627,sampler,local-installable,"Tool for shell commands execution, visualization and alerting",https://sampler.dev,GPL-3.0-only
