rank,tool,access,description,homepage,license
3749,seqtk,local-installable,Toolkit for processing sequences in FASTA/Q formats,https://github.com/lh3/seqtk,MIT
3750,rm-improved,local-installable,"Command-line deletion tool focused on safety, ergonomics, and performance",https://github.com/nivekuil/rip,GPL-3.0-or-later
3751,librime,local-installable,Rime Input Method Engine,https://rime.im,BSD-3-Clause
3752,libsoxr,local-installable,"High quality, one-dimensional sample-rate conversion library",https://sourceforge.net/projects/soxr/,LGPL-2.1-or-later
3753,nu,local-installable,"Object-oriented, Lisp-like programming language",https://programming.nu/,Apache-2.0
3754,noir,local-installable,Attack surface detector that identifies endpoints by static analysis,https://owasp.org/www-project-noir/,MIT
3756,daemon,local-installable,Turn other processes into daemons,https://libslack.org/daemon/,GPL-2.0-or-later
3757,tcpflow,local-installable,TCP/IP packet demultiplexer,https://github.com/simsong/tcpflow,GPL-3.0-only
3758,picard-tools,local-installable,Tools for manipulating HTS data and formats,https://broadinstitute.github.io/picard/,MIT
3759,ruff-lsp,local-installable,Language Server Protocol implementation for Ruff,https://github.com/astral-sh/ruff-lsp,MIT
3760,qjackctl,local-installable,Simple Qt application to control the JACK sound server daemon,https://qjackctl.sourceforge.io/,GPL-2.0-or-later
3762,chart-releaser,local-installable,Hosting Helm Charts via GitHub Pages and Releases,https://github.com/helm/chart-releaser/,Apache-2.0
3763,qt5compat,local-installable,Qt 5 Core APIs that were removed in Qt 6,https://www.qt.io/,(LGPL-3.0-only OR GPL-2.0-only OR GPL-3.0-only) AND BSD-2-Clause AND BSD-3-Clause
3767,nanobind,local-installable,Tiny and efficient C++/Python bindings,https://github.com/wjakob/nanobind,BSD-3-Clause
3768,dfu-programmer,local-installable,Device firmware update based USB programmer for Atmel chips,https://github.com/dfu-programmer/dfu-programmer,GPL-2.0-or-later
3769,cloudflare-quiche,local-installable,Savoury implementation of the QUIC transport protocol and HTTP/3,https://docs.quic.tech/quiche/,BSD-2-Clause
3770,davmail,local-installable,POP/IMAP/SMTP/Caldav/Carddav/LDAP exchange gateway,https://davmail.sourceforge.net/,GPL-2.0-or-later
3771,pangomm,local-installable,C++ interface to Pango,https://www.gtk.org/docs/architecture/pango,LGPL-2.1-only
3772,corsixth,local-installable,Open source clone of Theme Hospital,https://github.com/CorsixTH/CorsixTH,MIT
3773,jupyter-r,local-installable,R support for Jupyter,https://irkernel.github.io,MIT
3774,kubevela,local-installable,Application Platform based on Kubernetes and Open Application Model,https://kubevela.io,Apache-2.0
3775,supertux,local-installable,Classic 2D jump'n run sidescroller game,https://www.supertux.org/,GPL-3.0-or-later
3776,ansible-language-server,local-installable,Language Server for Ansible Files,https://github.com/ansible/vscode-ansible,MIT
3777,apt,local-installable,Advanced Package Tool,https://wiki.debian.org/Apt,GPL-2.0-or-later
3778,woodpecker-cli,local-installable,CLI client for the Woodpecker Continuous Integration server,https://woodpecker-ci.org/,Apache-2.0
3779,ckan,local-installable,Comprehensive Kerbal Archive Network,https://github.com/KSP-CKAN/CKAN/,MIT
