rank,tool,access,description,homepage,license
4967,wmctrl,local-installable,UNIX/Linux command-line tool to interact with an EWMH/NetWM,https://packages.debian.org/sid/wmctrl,GPL-2.0-or-later
4970,hapi-fhir-cli,local-installable,Command-line interface for the HAPI FHIR library,https://hapifhir.io/,Apache-2.0
4971,openj9,local-installable,"High performance, scalable, Java virtual machine",https://www.eclipse.org/openj9/,EPL-2.0 OR Apache-2.0 OR (GPL-2.0-only WITH Classpath-exception-2.0) OR (GPL-2.0-only WITH OpenJDK-assembly-exception-1.0)
4972,acronym,local-installable,Python-based tool for creating English-ish acronyms from your fancy project,https://github.com/bacook17/acronym,MIT
4974,superseedr,local-installable,BitTorrent Client in your Terminal,https://github.com/Jagalite/superseedr,GPL-3.0-or-later
4975,gearman,local-installable,Application framework to farm out work to other machines or processes,https://gearman.org/,BSD-3-Clause
4976,dash-mpd-cli,local-installable,Download media content from a DASH-MPEG or DASH-WebM MPD manifest,https://emarsden.github.io/dash-mpd-cli/,MIT
4977,wifitui,local-installable,Fast featureful friendly wifi terminal UI,https://github.com/shazow/wifitui,MIT
4978,tree-sitter@0.25,local-installable,Incremental parsing library,https://tree-sitter.github.io/,MIT
4979,cpm,local-installable,Fast CPAN module installer,https://metacpan.org/pod/cpm,Artistic-1.0-Perl OR GPL-1.0-or-later
4980,khard,local-installable,Console carddav client,https://github.com/lucc/khard,GPL-3.0-only
4981,qt-libiodbc,local-installable,Qt SQL Database Driver,https://www.qt.io/,GPL-2.0-only OR GPL-3.0-only OR LGPL-3.0-only
4983,koka,local-installable,Compiler for the Koka language,http://koka-lang.org,Apache-2.0
4984,sandvault,local-installable,Run AI agents isolated in a sandboxed macOS user account,https://github.com/webcoyote/sandvault,Apache-2.0
4985,animdl,local-installable,Anime downloader and streamer,https://github.com/justfoolingaround/animdl,GPL-3.0-only
4986,gucharmap,local-installable,"GNOME Character Map, based on the Unicode Character Database",https://wiki.gnome.org/Apps/Gucharmap,GPL-3.0-or-later
4988,gifcap,local-installable,Capture video from an Android device and make a gif,https://github.com/outlook/gifcap,MIT
4989,aws-c-auth,local-installable,C99 library implementation of AWS client-side authentication,https://github.com/awslabs/aws-c-auth,Apache-2.0
4990,fast_float,local-installable,Fast and exact implementation of the C++ from_chars functions for number types,https://github.com/fastfloat/fast_float,Apache-2.0
4992,chainsaw,local-installable,Rapidly Search and Hunt through Windows Forensic Artefacts,https://github.com/WithSecureLabs/chainsaw,GPL-3.0-only
4993,ccextractor,local-installable,Tool for extracting closed captions from video files,https://www.ccextractor.org,GPL-2.0-only
4995,ebook-tools,local-installable,Access and convert several ebook formats,https://sourceforge.net/projects/ebook-tools/,MIT
4996,gnmic,local-installable,GNMI CLI client and collector,https://gnmic.openconfig.net,Apache-2.0
4997,cadence,local-installable,Resource-oriented smart contract programming language,https://cadence-lang.org/,Apache-2.0
4998,miniflux,local-installable,Minimalist and opinionated feed reader,https://miniflux.app,Apache-2.0
4999,mr,local-installable,Multiple Repository management tool,https://myrepos.branchable.com/,GPL-2.0-or-later
5000,sloccount,local-installable,Count lines of code in many languages,https://dwheeler.com/sloccount/,GPL-2.0-or-later
