rank,tool,access,description,homepage,license
4501,dnsgen,local-installable,Generates DNS names from existing domain names,https://github.com/AlephNullSK/dnsgen,MIT
4502,nauty,local-installable,Automorphism groups of graphs and digraphs,https://pallini.di.uniroma1.it/,Apache-2.0
4503,triton,local-installable,Joyent Triton CLI,https://www.npmjs.com/package/triton,MPL-2.0
4504,libshout,local-installable,Data and connectivity library for the Icecast server,https://icecast.org/,LGPL-2.0-or-later
4505,trafilatura,local-installable,"Discovery, extraction and processing for Web text",https://trafilatura.readthedocs.io/en/latest/,GPL-3.0-or-later
4506,erofs-utils,local-installable,Utilities for Enhanced Read-Only File System,https://git.kernel.org/pub/scm/linux/kernel/git/xiang/erofs-utils.git,GPL-2.0-or-later
4507,kwok,local-installable,Kubernetes WithOut Kubelet - Simulates thousands of Nodes and Clusters,https://kwok.sigs.k8s.io,Apache-2.0
4508,packetry,local-installable,"Fast, intuitive USB 2.0 protocol analysis application for use with Cynthion",https://github.com/greatscottgadgets/packetry,BSD-3-Clause
4512,monit,local-installable,"Manage and monitor processes, files, directories, and devices",https://mmonit.com/monit/,AGPL-3.0-or-later
4513,h3,local-installable,Hexagonal hierarchical geospatial indexing system,https://uber.github.io/h3/,Apache-2.0
4514,girara,local-installable,Common components for zathura,https://pwmt.org/projects/girara/,Zlib
4515,proselint,local-installable,Linter for prose,https://github.com/amperser/proselint,BSD-3-Clause
4516,jreleaser,local-installable,Release projects quickly and easily with JReleaser,https://jreleaser.org/,Apache-2.0
4517,lit,local-installable,Portable tool for LLVM- and Clang-style test suites,https://llvm.org,Apache-2.0 WITH LLVM-exception
4518,cobo-cli,local-installable,"Build, test, and manage your integration with Cobo Wallet-as-a-Service",https://github.com/CoboGlobal/cobo-cli,MIT
4519,distcc,local-installable,Distributed compiler client and server,https://github.com/distcc/distcc/,GPL-2.0-or-later
4520,c2048,local-installable,Console version of 2048,https://github.com/mevdschee/2048.c,MIT
4521,limesuite,local-installable,"Device drivers utilities, and interface layers for LimeSDR",https://myriadrf.org/projects/software/lime-suite/,Apache-2.0
4522,cuetools,local-installable,Utilities for .cue and .toc files,https://github.com/svend/cuetools,GPL-2.0-only
4524,bup,local-installable,Backup tool,https://bup.github.io/,BSD-2-Clause AND LGPL-2.0-only
4525,ponysay,local-installable,Cowsay but with ponies,https://github.com/erkin/ponysay/,GPL-3.0-or-later
4526,gabedit,local-installable,"GUI to computational chemistry packages like Gamess-US, Gaussian, etc.",https://gabedit.sourceforge.net/,MIT
4527,codeberg-cli,local-installable,CLI for Codeberg,https://codeberg.org/Aviac/codeberg-cli,AGPL-3.0-or-later
4529,qtquick3dphysics,local-installable,High-level QML module adding physical simulation capabilities to Qt Quick 3D,https://www.qt.io/,GPL-3.0-only AND (GPL-3.0-only WITH Qt-GPL-exception-1.0) AND BSD-3-Clause
4531,mgis,local-installable,Provide tools to handle MFront generic interface behaviours,https://thelfer.github.io/mgis/web/index.html,LGPL-3.0-only OR CECILL-1.0
4532,adaptivecpp,local-installable,SYCL and C++ standard parallelism for CPUs and GPUs,https://adaptivecpp.github.io/,BSD-2-Clause
