rank,tool,access,description,homepage,license
4831,eleventy,local-installable,Simpler static site generator,https://www.11ty.dev,MIT
4832,protoc-gen-doc,local-installable,Documentation generator plugin for Google Protocol Buffers,https://github.com/pseudomuto/protoc-gen-doc,MIT
4833,libtommath,local-installable,C library for number theoretic multiple-precision integers,https://www.libtom.net/LibTomMath/,Unlicense
4834,lxi-tools,local-installable,Open source tools for managing network attached LXI compatible instruments,https://github.com/lxi-tools/lxi-tools,BSD-3-Clause
4835,jaguar,local-installable,Live reloading for your ESP32,https://toitlang.org/,MIT
4836,lstr,local-installable,"Fast, minimalist directory tree viewer",https://github.com/bgreenwell/lstr,MIT
4838,swag,local-installable,Automatically generate RESTful API documentation with Swagger 2.0 for Go,https://github.com/swaggo/swag,MIT
4839,soapyrtlsdr,local-installable,SoapySDR RTL-SDR Support Module,https://github.com/pothosware/SoapyRTLSDR/wiki,MIT
4840,atkmm@2.28,local-installable,Official C++ interface for the ATK accessibility toolkit library,https://www.gtkmm.org/,LGPL-2.1-or-later
4841,git-delete-merged-branches,local-installable,Command-line tool to delete merged Git branches,https://github.com/hartwork/git-delete-merged-branches,GPL-3.0-or-later
4842,imgp,local-installable,High-performance CLI batch image resizer & rotator,https://github.com/jarun/imgp,GPL-3.0-or-later
4844,libdrm,local-installable,Library for accessing the direct rendering manager,https://dri.freedesktop.org,MIT
4845,jhead,local-installable,Extract Digicam setting info from EXIF JPEG headers,https://github.com/Matthias-Wandel/jhead,LicenseRef-Homebrew-public-domain
4848,varlock,local-installable,Add declarative schema to .env files using @env-spec decorator comments,https://varlock.dev,MIT
4849,qhull,local-installable,Computes convex hulls in n dimensions,http://www.qhull.org/,Qhull
4850,chdig,local-installable,Dig into ClickHouse with TUI interface,https://github.com/azat/chdig,MIT
4852,autocode,local-installable,"Code automation for every language, library and framework",https://autocode.readme.io/,Apache-2.0
4854,ltex-ls,local-installable,"LSP for LanguageTool with support for Latex, Markdown and Others",https://valentjn.github.io/ltex/,MPL-2.0
4855,pvetui,local-installable,Terminal UI for Proxmox VE,https://github.com/devnullvoid/pvetui,MIT
4857,libopusenc,local-installable,Convenience library for creating .opus files,https://www.opus-codec.org/,BSD-3-Clause
4858,pocsuite3,local-installable,Open-sourced remote vulnerability testing framework,https://pocsuite.org/,GPL-2.0-only
4859,scummvm-tools,local-installable,Collection of tools for ScummVM,https://www.scummvm.org/,GPL-3.0-or-later
4860,urlview,local-installable,URL extractor/launcher,https://packages.debian.org/sid/misc/urlview,GPL-2.0-or-later
4863,votca,local-installable,Versatile Object-oriented Toolkit for Coarse-graining Applications,https://www.votca.org/,Apache-2.0
4864,qt-mariadb,local-installable,Qt SQL Database Driver,https://www.qt.io/,GPL-2.0-only OR GPL-3.0-only OR LGPL-3.0-only
4867,yozefu,local-installable,TUI for exploring data in a Kafka cluster,https://github.com/MAIF/yozefu,Apache-2.0
