rank,tool,access,description,homepage,license
3327,argocd-autopilot,local-installable,Opinionated way of installing Argo CD and managing GitOps repositories,https://argoproj.io,Apache-2.0
3328,npq,local-installable,Audit npm packages before you install them,https://github.com/lirantal/npq,Apache-2.0
3329,drone-cli,local-installable,Command-line client for the Drone continuous integration server,https://drone.io,Apache-2.0
3330,osmcoastline,local-installable,Extracts coastline data from OpenStreetMap planet file,https://osmcode.org/osmcoastline/,GPL-3.0-or-later
3331,subnetcalc,local-installable,IPv4/IPv6 subnet calculator,https://www.nntb.no/~dreibh/subnetcalc/index.html,GPL-3.0-or-later
3332,gitoxide,local-installable,"Idiomatic, lean, fast & safe pure Rust implementation of Git",https://github.com/GitoxideLabs/gitoxide,Apache-2.0
3333,python-tabulate,local-installable,Pretty-print tabular data in Python,https://github.com/astanin/python-tabulate,MIT
3335,popeye,local-installable,Kubernetes cluster resource sanitizer,https://popeyecli.io,Apache-2.0
3338,qtwebengine,local-installable,Provides functionality for rendering regions of dynamic web content,https://www.qt.io/,(LGPL-3.0-only OR GPL-2.0-only OR GPL-3.0-only) AND (GPL-3.0-only WITH Qt-GPL-exception-1.0) AND BSD-3-Clause AND Apache-2.0 AND blessing AND BSD-2-Clause AND LGPL-2.1-or-later AND libpng-2.0 AND MIT AND MPL-1.1 AND NCL AND SGI-B-2.0 AND SunPro AND Zlib AND LicenseRef-Homebrew-public-domain AND (ISC AND OpenSSL)
3340,nyancat,local-installable,"Renders an animated, color, ANSI-text loop of the Poptart Cat",https://nyancat.dakko.us/,NCSA
3341,hive,local-installable,"Hadoop-based data summarization, query, and analysis",https://hive.apache.org,Apache-2.0
3343,arm-none-eabi-binutils,local-installable,GNU Binutils for arm-none-eabi cross development,https://www.gnu.org/software/binutils/,GPL-3.0-or-later
3344,powerline-go,local-installable,Beautiful and useful low-latency prompt for your shell,https://github.com/justjanne/powerline-go,GPL-3.0-or-later
3345,liblqr,local-installable,C/C++ seam carving library,https://liblqr.wikidot.com/,LGPL-3.0-only
3347,zipkin,local-installable,Collect and visualize traces written in Zipkin format,https://zipkin.io,Apache-2.0
3350,tidy-viewer,local-installable,CLI csv pretty printer,https://github.com/alexhallam/tv,Unlicense
3352,azqr,local-installable,Azure Quick Review,https://azure.github.io/azqr/,MIT
3355,idris2,local-installable,Pure functional programming language with dependent types,https://www.idris-lang.org/,BSD-3-Clause
3356,lanraragi,local-installable,Web application for archival and reading of manga/doujinshi,https://github.com/Difegue/LANraragi,MIT
3358,hexo,local-installable,"Fast, simple & powerful blog framework",https://hexo.io/,MIT
3360,sipp,local-installable,Traffic generator for the SIP protocol,https://sipp.sourceforge.net/,GPL-2.0-or-later
3362,wgo,local-installable,Watch arbitrary files and respond with arbitrary commands,https://github.com/bokwoon95/wgo,MIT
3363,astrometry-net,local-installable,Automatic identification of astronomical images,https://github.com/dstndstn/astrometry.net,BSD-3-Clause
3364,vulkan-extensionlayer,local-installable,Layer providing Vulkan features when native support is unavailable,https://github.com/KhronosGroup/Vulkan-ExtensionLayer,Apache-2.0
3365,pkcs11-helper,local-installable,Library to simplify the interaction with PKCS#11,https://github.com/OpenSC/OpenSC/wiki/pkcs11-helper,BSD-3-Clause OR GPL-2.0-or-later
3366,cljfmt,local-installable,Formatting Clojure code,https://github.com/weavejester/cljfmt,EPL-1.0
