rank,tool,access,description,homepage,license
3912,sshfs,local-installable,File system client based on SSH File Transfer Protocol,https://github.com/libfuse/sshfs,LGPL-2.1-only OR GPL-2.0-only
3913,prestodb,local-installable,Distributed SQL query engine for big data,https://prestodb.io,Apache-2.0
3915,electric,local-installable,Real-time sync for Postgres,https://electric-sql.com,Apache-2.0
3916,ffmpeg2theora,local-installable,Convert video files to Ogg Theora format,https://gitlab.xiph.org/xiph/ffmpeg2theora,GPL-2.0-or-later
3917,gmailctl,local-installable,Declarative configuration for Gmail filters,https://github.com/mbrt/gmailctl,MIT
3918,libint,local-installable,Library for computing electron repulsion integrals efficiently,https://github.com/evaleev/libint,LGPL-3.0-only
3919,revive,local-installable,"Fast, configurable, extensible, flexible, and beautiful linter for Go",https://revive.run,MIT
3921,rtk,local-installable,CLI proxy to minimize LLM token consumption,https://www.rtk-ai.app/,MIT
3922,widelands,local-installable,Free real-time strategy game like Settlers II,https://www.widelands.org/,GPL-2.0-or-later
3923,neko,local-installable,"High-level, dynamically typed programming language",https://nekovm.org/,MIT
3925,skillshare,local-installable,Sync skills across AI CLI tools,https://skillshare.runkids.cc,MIT
3926,fatal,local-installable,Facebook Template Library,https://www.facebook.com/groups/libfatal/,BSD-3-Clause
3927,angle-grinder,local-installable,Slice and dice log files on the command-line,https://github.com/rcoh/angle-grinder,MIT
3929,sigrok-cli,local-installable,Sigrok command-line interface to use logic analyzers and more,https://sigrok.org/,GPL-3.0-or-later
3930,qtwebsockets,local-installable,Provides WebSocket communication compliant with RFC 6455,https://www.qt.io/,(LGPL-3.0-only OR GPL-2.0-only OR GPL-3.0-only) AND BSD-3-Clause
3931,exempi,local-installable,Library to parse XMP metadata,https://libopenraw.freedesktop.org/exempi/,BSD-3-Clause
3932,imgdiet,local-installable,Optimize and resize images,https://git.sr.ht/~jamesponddotco/imgdiet-go,MIT
3933,libcaca,local-installable,Convert pixel information into colored ASCII art,http://caca.zoy.org/wiki/libcaca,WTFPL
3934,inspectrum,local-installable,Offline radio signal analyser,https://github.com/miek/inspectrum,GPL-3.0-or-later
3935,sipcalc,local-installable,Advanced console-based IP subnet calculator,https://www.routemeister.net/projects/sipcalc/,BSD-3-Clause
3936,lemon,local-installable,LALR(1) parser generator like yacc or bison,https://www.hwaci.com/sw/lemon/,blessing
3937,smug,local-installable,Automate your tmux workflow,https://github.com/ivaaaan/smug,MIT
3938,git-octopus,local-installable,Continuous merge workflow,https://github.com/lesfurets/git-octopus,LGPL-3.0-only
3939,c7n,local-installable,"Rules engine for cloud security, cost optimization, and governance",https://github.com/cloud-custodian/cloud-custodian,Apache-2.0
3940,jp,local-installable,Dead simple terminal plots from JSON data,https://github.com/sgreben/jp,MIT
3941,librasterlite2,local-installable,Library to store and retrieve huge raster coverages,https://www.gaia-gis.it/fossil/librasterlite2/index,MPL-1.1 OR GPL-2.0-or-later OR LGPL-2.1-or-later
