rank,tool,access,description,homepage,license
3582,wstunnel,local-installable,Tunnel all your traffic over Websocket or HTTP2,https://github.com/erebe/wstunnel,BSD-3-Clause
3583,qttools,local-installable,"Facilitate the design, development, testing and deployment of applications",https://www.qt.io/,(LGPL-3.0-only OR GPL-2.0-only OR GPL-3.0-only) AND (GPL-3.0-only WITH Qt-GPL-exception-1.0) AND BSD-3-Clause AND BSL-1.0
3584,pinocchio,local-installable,Efficient and fast C++ library implementing Rigid Body Dynamics algorithms,https://stack-of-tasks.github.io/pinocchio,BSD-2-Clause
3585,clang-uml,local-installable,Customizable automatic UML diagram generator for C++ based on Clang,https://github.com/bkryza/clang-uml,Apache-2.0
3586,riscv64-elf-binutils,local-installable,GNU Binutils for riscv64-elf cross development,https://www.gnu.org/software/binutils/,GPL-3.0-or-later
3587,libvirt-glib,local-installable,Libvirt API for glib-based programs,https://libvirt.org/,LGPL-2.1-or-later
3588,bindgen,local-installable,Automatically generates Rust FFI bindings to C (and some C++) libraries,https://rust-lang.github.io/rust-bindgen/,BSD-3-Clause
3591,jupytext,local-installable,"Jupyter notebooks as Markdown documents, Julia, Python or R scripts",https://jupytext.readthedocs.io/en/latest/,MIT
3592,nvc,local-installable,VHDL compiler and simulator,https://www.nickg.me.uk/nvc/,GPL-3.0-or-later
3593,iso-codes,local-installable,Provides lists of various ISO standards,https://salsa.debian.org/iso-codes-team/iso-codes,LGPL-2.1-or-later
3594,tomcat-native,local-installable,Lets Tomcat use some native resources for performance,https://tomcat.apache.org/native-doc/,Apache-2.0
3595,hysteria,local-installable,"Feature-packed proxy & relay tool optimized for lossy, unstable connections",https://hysteria.network/,MIT
3596,i386-elf-gdb,local-installable,GNU debugger for i386-elf cross development,https://www.gnu.org/software/gdb/,GPL-3.0-or-later
3597,pdftohtml,local-installable,Utility which converts PDF files into HTML and XML formats,https://pdftohtml.sourceforge.net/,GPL-2.0-only
3599,fennel,local-installable,Lua Lisp Language,https://fennel-lang.org,MIT
3600,dotenv-linter,local-installable,Lightning-fast linter for .env files written in Rust,https://dotenv-linter.github.io,MIT
3601,helmsman,local-installable,Helm Charts as Code tool,https://github.com/mkubaczyk/helmsman,MIT
3602,czg,local-installable,Interactive Commitizen CLI that generate standardized commit messages,https://github.com/Zhengqbbb/cz-git,MIT
3605,bulk_extractor,local-installable,Stream-based forensics tool,https://github.com/simsong/bulk_extractor/wiki,MIT
3606,grsync,local-installable,GUI for rsync,https://www.opbyte.it/grsync/,GPL-2.0-only
3607,libbladerf,local-installable,USB 3.0 Superspeed Software Defined Radio Source,https://nuand.com/,GPL-2.0-or-later AND LGPL-2.1-or-later AND MIT
3608,terramaid,local-installable,Utility for generating Mermaid diagrams from Terraform configurations,https://github.com/RoseSecurity/Terramaid,Apache-2.0
3609,opensearch-dashboards,local-installable,Open source visualization dashboards for OpenSearch,https://docs.opensearch.org/latest/dashboards/,Apache-2.0
3610,exif,local-installable,"Read, write, modify, and display EXIF data on the command-line",https://libexif.github.io/,LGPL-2.1-or-later
3612,libxi,local-installable,X.Org: Library for the X Input Extension,https://www.x.org/,MIT
3613,golangci-lint-langserver,local-installable,Language server for `golangci-lint`,https://github.com/nametake/golangci-lint-langserver,MIT
