rank,tool,access,license,homepage,description
2568,govulncheck,local-installable,BSD-3-Clause,https://github.com/golang/vuln,Database client and tools for the Go vulnerability database
2569,orocos-kdl,local-installable,LGPL-2.1-or-later,https://orocos.org/,Orocos Kinematics and Dynamics C++ library
2570,pidgin,local-installable,GPL-2.0-or-later,https://pidgin.im/,Multi-protocol chat client
2571,lldpd,local-installable,ISC,https://lldpd.github.io/,Implementation of IEEE 802.1ab (LLDP)
2572,atac,local-installable,MIT,https://atac.julien-cpsn.com/,Simple API client (Postman-like) in your terminal
2573,fselect,local-installable,Apache-2.0 OR MIT,https://github.com/jhspetersson/fselect,Find files with SQL-like queries
2575,megatools,local-installable,GPL-2.0-or-later WITH openvpn-openssl-exception,https://xff.cz/megatools/,Command-line client for Mega.co.nz
2576,jaq,local-installable,MIT,https://github.com/01mf02/jaq,"JQ clone focussed on correctness, speed, and simplicity"
2577,mcap,local-installable,MIT,https://mcap.dev,Serialization-agnostic container file format for pub/sub messages
2578,vulkan-validationlayers,local-installable,Apache-2.0,https://github.com/KhronosGroup/Vulkan-ValidationLayers,Vulkan layers that enable developers to verify correct use of the Vulkan API
2579,tuios,local-installable,MIT,https://github.com/Gaurav-Gosain/tuios,Terminal UI OS (Terminal Multiplexer)
2580,elan-init,local-installable,Apache-2.0 OR MIT,https://github.com/leanprover/elan,Lean Theorem Prover installer and version manager
2581,mods,local-installable,MIT,https://github.com/charmbracelet/mods,AI on the command-line
2582,fn,local-installable,Apache-2.0,https://fnproject.io,Command-line tool for the fn project
2583,csound,local-installable,LGPL-2.1-or-later,https://csound.com,Sound and music computing system
2585,pastel,local-installable,Apache-2.0 OR MIT,https://github.com/sharkdp/pastel,"Command-line tool to generate, analyze, convert and manipulate colors"
2588,golines,local-installable,MIT,https://github.com/segmentio/golines,Golang formatter that fixes long lines
2589,cli53,local-installable,MIT,https://github.com/barnybug/cli53,Command-line tool for Amazon Route 53
2590,gator,local-installable,Apache-2.0,https://open-policy-agent.github.io/gatekeeper/,CLI Utility for Open Policy Agent Gatekeeper
2591,xgboost,local-installable,Apache-2.0,https://xgboost.ai/,"Scalable, Portable and Distributed Gradient Boosting Library"
2592,vnu,local-installable,MIT,https://validator.github.io/validator/,Nu Markup Checker: command-line and server HTML validator
2593,mac,local-installable,BSD-3-Clause,https://www.monkeysaudio.com,Monkey's Audio lossless codec
2594,falco,local-installable,MIT,https://github.com/ysugimoto/falco,VCL parser and linter optimized for Fastly
2595,mavsdk,local-installable,BSD-3-Clause,https://mavsdk.mavlink.io/main/en/index.html,API and library for MAVLink compatible systems written in C++17
2596,unoconv,local-installable,GPL-2.0-only,https://github.com/unoconv/unoconv,Convert between any document format supported by OpenOffice
2598,immich-go,local-installable,AGPL-3.0-only,https://github.com/simulot/immich-go,Alternative to the official immich-CLI command written in Go
