rank,tool,access,description,homepage,license
4170,sile,local-installable,Modern typesetting system inspired by TeX,https://sile-typesetter.org,MIT
4171,fleet-cli,local-installable,Manage large fleets of Kubernetes clusters,https://github.com/rancher/fleet,Apache-2.0
4172,primesieve,local-installable,Fast C/C++ prime number generator,https://github.com/kimwalisch/primesieve,BSD-2-Clause
4173,ata,local-installable,ChatGPT in the terminal,https://github.com/transformrs/ata,MIT
4174,drogon,local-installable,Modern C++ web application framework,https://drogon.org,MIT
4175,humanlog,local-installable,Logs for humans to read,https://github.com/humanlogio/humanlog,Apache-2.0
4177,ipinfo-cli,local-installable,Official CLI for the IPinfo IP Address API,https://ipinfo.io/,Apache-2.0
4178,kraken2,local-installable,Taxonomic sequence classification system,https://github.com/DerrickWood/kraken2,MIT
4179,plplot,local-installable,Cross-platform software package for creating scientific plots,https://plplot.sourceforge.net/,LGPL-2.0-or-later AND BSD-3-Clause AND HPND AND LicenseRef-Homebrew-cannot-represent
4182,libxinerama,local-installable,X.Org: API for Xinerama extension to X11 Protocol,https://www.x.org/,MIT
4183,wiremock-standalone,local-installable,Simulator for HTTP-based APIs,https://wiremock.org/docs/running-standalone/,Apache-2.0
4184,gtkspell3,local-installable,Gtk widget for highlighting and replacing misspelled words,https://gtkspell.sourceforge.net/,GPL-2.0-or-later
4186,makedepend,local-installable,Creates dependencies in makefiles,https://x.org/,MIT
4187,lockrun,local-installable,Run cron jobs with overrun protection,http://unixwiz.net/tools/lockrun.html,LicenseRef-Homebrew-public-domain
4189,certigo,local-installable,Utility to examine and validate certificates in a variety of formats,https://github.com/square/certigo,Apache-2.0
4190,fs-uae,local-installable,Amiga emulator,https://fs-uae.net/,GPL-2.0-or-later
4191,mpremote,local-installable,Tool for interacting remotely with MicroPython devices,https://docs.micropython.org/en/latest/reference/mpremote.html,MIT
4192,anyquery,local-installable,Query anything with SQL,https://anyquery.dev,AGPL-3.0-only
4193,gnome-papers,local-installable,Document viewer for PDF and other document formats aimed at the GNOME desktop,https://apps.gnome.org/Papers/,GPL-2.0-or-later
4194,cloudfoundry-cli,local-installable,Official command-line client for Cloud Foundry,https://docs.cloudfoundry.org/cf-cli,Apache-2.0
4195,libgda,local-installable,Provides unified data access to the GNOME project,https://www.gnome-db.org/,LGPL-2.0-or-later
4196,kbld,local-installable,Tool for building and pushing container images in development workflows,https://carvel.dev/kbld/,Apache-2.0
4197,clojurescript,local-installable,Clojure to JS compiler,https://github.com/clojure/clojurescript,EPL-1.0
4198,hashlink,local-installable,Virtual machine for Haxe,https://hashlink.haxe.org/,MIT
4199,qtlanguageserver,local-installable,Implementation of the Language Server Protocol and JSON-RPC,https://www.qt.io/,(LGPL-3.0-only OR GPL-2.0-only OR GPL-3.0-only) AND BSD-3-Clause
4200,multimarkdown,local-installable,Turn marked-up plain text into well-formatted documents,https://fletcher.github.io/MultiMarkdown-6/,MIT
