service,description,homepage,protocols,auth_mode,auth_required,api_key_needed,prompt_policy,skills_using_count,skills_using,skill_paths
a2ps,Any-to-PostScript filter,https://www.gnu.org/software/a2ps/,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b06-filesystem-debug-presentation-ml,skills/generated/shards/nexus-06/b06-filesystem-debug-presentation-ml/SKILL.md
aalib,Portable ASCII art graphics library,https://aa-project.sourceforge.net/aalib/,"Local library API/ABI, CLI/stdin-stdout",None (local library/runtime),no,no,No API key required for local library/runtime use.,1,b08-systems-cache-networking,skills/generated/shards/nexus-08/b08-systems-cache-networking/SKILL.md
aarch64-elf-binutils,GNU Binutils for aarch64-elf cross development,https://www.gnu.org/software/binutils/,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b04-build-languages-runtimes,skills/generated/shards/nexus-04/b04-build-languages-runtimes/SKILL.md
aarch64-elf-gcc,GNU compiler collection for aarch64-elf,https://gcc.gnu.org,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b04-build-languages-runtimes,skills/generated/shards/nexus-04/b04-build-languages-runtimes/SKILL.md
aarch64-elf-gdb,GNU debugger for aarch64-elf cross development,https://www.gnu.org/software/gdb/,"SQL/DB protocol, CLI/stdin-stdout",None or local runtime,no,no,No API key required for local/offline use.,1,b07-debug-proxy-k8s-ops,skills/generated/shards/nexus-07/b07-debug-proxy-k8s-ops/SKILL.md
ab-av1,"AV1 re-encoding using ffmpeg, svt-av1 & vmaf",https://github.com/alexheretic/ab-av1,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b07-shell-search-sync-build,skills/generated/shards/nexus-07/b07-shell-search-sync-build/SKILL.md
abcde,Better CD Encoder,https://abcde.einval.com,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b09-vmware-security-graphics-automation,skills/generated/shards/nexus-09/b09-vmware-security-graphics-automation/SKILL.md
abcmidi,Converts abc music notation files to MIDI files,https://ifdo.ca/~seymour/runabc/top.html,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b09-emulation-math-qt-dataflow,skills/generated/shards/nexus-09/b09-emulation-math-qt-dataflow/SKILL.md
abi3audit,Scans Python packages for abi3 violations and inconsistencies,https://github.com/pypa/abi3audit,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b10-quality-media-supplychain,skills/generated/shards/nexus-10/b10-quality-media-supplychain/SKILL.md
abseil,C++ Common Libraries,https://abseil.io,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,c-cpp-systems-and-build,skills/generated/shards/nexus-02/c-cpp-systems-and-build/SKILL.md
ack,"Search tool like grep, but optimized for programmers",https://beyondgrep.com/,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,terminal-shell-and-productivity,skills/generated/shards/nexus-02/terminal-shell-and-productivity/SKILL.md
acl2,Logic and programming language in which you can model computer systems,https://www.cs.utexas.edu/~moore/acl2/,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b10-runtime-security-dataops,skills/generated/shards/nexus-10/b10-runtime-security-dataops/SKILL.md
acme.sh,ACME client,https://github.com/acmesh-official/acme.sh,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b09-vmware-security-graphics-automation,skills/generated/shards/nexus-09/b09-vmware-security-graphics-automation/SKILL.md
acpica,OS-independent implementation of the ACPI specification,https://github.com/acpica/acpica,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b07-system-analysis-netsec,skills/generated/shards/nexus-07/b07-system-analysis-netsec/SKILL.md
acronym,Python-based tool for creating English-ish acronyms from your fancy project,https://github.com/bacook17/acronym,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b10-terminal-java-media-forensics,skills/generated/shards/nexus-10/b10-terminal-java-media-forensics/SKILL.md
act_runner,Action runner for Gitea based on Gitea's fork of act,https://docs.gitea.com/usage/actions/act-runner,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b10-docs-ci-infra-runtime,skills/generated/shards/nexus-10/b10-docs-ci-infra-runtime/SKILL.md
activemq,Apache ActiveMQ: powerful open source messaging server,https://activemq.apache.org/,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b04-data-db-messaging-workflows,skills/generated/shards/nexus-04/b04-data-db-messaging-workflows/SKILL.md
ada-url,WHATWG-compliant and fast URL parser written in modern C++,https://github.com/ada-url/ada,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b07-data-protocol-db-runtime,skills/generated/shards/nexus-07/b07-data-protocol-db-runtime/SKILL.md
adaptivecpp,SYCL and C++ standard parallelism for CPUs and GPUs,https://adaptivecpp.github.io/,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b10-platform-build-geo-sdr,skills/generated/shards/nexus-10/b10-platform-build-geo-sdr/SKILL.md
addons-linter,"Firefox Add-ons linter, written in JavaScript",https://github.com/mozilla/addons-linter,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b09-intel-network-policy-quant,skills/generated/shards/nexus-09/b09-intel-network-policy-quant/SKILL.md
adios2,Next generation of ADIOS developed in the Exascale Computing Program,https://adios2.readthedocs.io,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b07-code-workflow-storage,skills/generated/shards/nexus-07/b07-code-workflow-storage/SKILL.md
advancecomp,"Recompression utilities for .PNG, .MNG, .ZIP, and .GZ files",https://www.advancemame.it/comp-readme.html,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b10-docs-ci-infra-runtime,skills/generated/shards/nexus-10/b10-docs-ci-infra-runtime/SKILL.md
adwaita-icon-theme,Icons for the GNOME project,https://developer.gnome.org,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,media-graphics-and-document-tools,skills/generated/shards/nexus-02/media-graphics-and-document-tools/SKILL.md
afl++,American Fuzzy Lop++,https://aflplus.plus/,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b06-fuzzing-terminal-timeseries-langservers,skills/generated/shards/nexus-06/b06-fuzzing-terminal-timeseries-langservers/SKILL.md
agda,Dependently typed functional programming language,https://wiki.portal.chalmers.se/agda/,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b07-code-workflow-storage,skills/generated/shards/nexus-07/b07-code-workflow-storage/SKILL.md
age-plugin-yubikey,Plugin for encrypting files with age and PIV tokens such as YubiKeys,https://github.com/str4d/age-plugin-yubikey,CLI/stdin-stdout,None or local runtime,no,no,No API key required for local/offline use.,1,b10-media-k8s-encryption-web,skills/generated/shards/nexus-10/b10-media-k8s-encryption-web/SKILL.md
