rank,tool,access,description,homepage,license
4423,go-critic,local-installable,Opinionated Go source code linter,https://go-critic.com,MIT
4425,man2html,local-installable,Convert nroff man pages to HTML,https://savannah.nongnu.org/projects/man2html/,GPL-2.0-or-later
4426,standardebooks,local-installable,Tools for producing ebook files,https://github.com/standardebooks/tools,GPL-3.0-or-later
4427,screenpipe,local-installable,"Library to build personalized AI powered by what you've seen, said, or heard",https://github.com/mediar-ai/screenpipe,MIT
4428,kubecfg,local-installable,Manage complex enterprise Kubernetes environments as code,https://github.com/kubecfg/kubecfg,Apache-2.0
4429,amfora,local-installable,Fancy terminal browser for the Gemini protocol,https://github.com/makew0rld/amfora,GPL-3.0-only AND (GPL-3.0-only OR MIT)
4430,joshuto,local-installable,Ranger-like terminal file manager written in Rust,https://github.com/kamiyaa/joshuto,LGPL-3.0-or-later
4431,aws-c-http,local-installable,C99 implementation of the HTTP/1.1 and HTTP/2 specifications,https://github.com/awslabs/aws-c-http,Apache-2.0
4432,c,local-installable,"Compile and execute C ""scripts"" in one go",https://github.com/ryanmjacobs/c,MIT
4433,so,local-installable,Terminal interface for StackOverflow,https://github.com/samtay/so,MIT
4434,docmd,local-installable,Minimal Markdown documentation generator,https://docmd.mgks.dev/,MIT
4438,xtensor,local-installable,Multi-dimensional arrays with broadcasting and lazy computing,https://xtensor.readthedocs.io/en/latest/,BSD-3-Clause
4440,beancount-language-server,local-installable,Language server for beancount files,https://github.com/polarmutex/beancount-language-server,MIT
4441,libserialport,local-installable,Cross-platform serial port C library,https://sigrok.org/wiki/Libserialport,LGPL-3.0-or-later
4443,goocanvas,local-installable,Canvas widget for GTK+ using the Cairo 2D library for drawing,https://wiki.gnome.org/Projects/GooCanvas,LGPL-2.0-only
4445,rdap,local-installable,Command-line client for the Registration Data Access Protocol,https://www.openrdap.org,MIT
4446,direwolf,local-installable,"Software ""soundcard"" AX.25 packet modem/TNC and APRS encoder/decoder",https://github.com/wb2osz/direwolf,GPL-2.0-or-later AND ISC AND LicenseRef-Homebrew-cannot-represent
4450,liboqs,local-installable,Library for quantum-safe cryptography,https://openquantumsafe.org/,MIT
4451,fobis,local-installable,KISS build tool for automatically building modern Fortran projects,https://github.com/szaghi/FoBiS,GPL-3.0-or-later
4452,libharu,local-installable,Library for generating PDF files,https://github.com/libharu/libharu,Zlib
4453,keepassc,local-installable,Curses-based password manager for KeePass v.1.x and KeePassX,https://github.com/raymontag/keepassc,ISC
4454,git-tools,local-installable,Assorted git-related scripts and tools,https://github.com/MestreLion/git-tools,GPL-3.0-or-later
4455,gnu-chess,local-installable,Chess-playing program,https://www.gnu.org/software/chess/,GPL-3.0-or-later
4456,cbmc,local-installable,C Bounded Model Checker,https://www.cprover.org/cbmc/,BSD-4-Clause
4457,martin,local-installable,"Blazing fast tile server, tile generation, and mbtiles tooling",https://martin.maplibre.org,Apache-2.0 OR MIT
4458,scdoc,local-installable,Small man page generator,https://sr.ht/~sircmpwn/scdoc/,MIT
