rank,tool,access,description,homepage,license
4001,pocl,local-installable,Portable Computing Language,https://portablecl.org/,MIT
4002,sngrep,local-installable,Command-line tool for displaying SIP calls message flows,https://github.com/irontec/sngrep,GPL-3.0-or-later WITH openvpn-openssl-exception
4004,pdfsandwich,local-installable,Generate sandwich OCR PDFs from scanned file,http://www.tobias-elze.de/pdfsandwich/,GPL-2.0-or-later
4005,weaviate-cli,local-installable,Command-line interface for managing and interacting with Weaviate,https://pypi.org/project/weaviate-cli/,BSD-3-Clause
4006,xfig,local-installable,Facility for interactive generation of figures,https://mcj.sourceforge.net/,MIT
4007,dxpy,local-installable,DNAnexus toolkit utilities and platform API bindings for Python,https://github.com/dnanexus/dx-toolkit,Apache-2.0
4008,kagent,local-installable,Kubernetes native framework for building AI agents,https://kagent.dev,Apache-2.0
4011,libxlsxwriter,local-installable,C library for creating Excel XLSX files,https://libxlsxwriter.github.io/,BSD-2-Clause
4012,charmcraft,local-installable,Tool to build charms and publish them on Charmhub,https://charmhub.io,Apache-2.0
4013,vet,local-installable,Policy driven vetting of open source dependencies,https://safedep.io/,Apache-2.0
4014,sleek,local-installable,CLI tool for formatting SQL,https://github.com/nrempel/sleek,MIT
4015,qtvirtualkeyboard,local-installable,Provides an input framework and reference keyboard frontend,https://www.qt.io/,GPL-3.0-only AND Apache-2.0 AND BSD-3-Clause
4016,qt3d,local-installable,Provides functionality for near-realtime simulation systems,https://www.qt.io/,(LGPL-3.0-only OR GPL-2.0-only OR GPL-3.0-only) AND BSD-3-Clause AND MIT
4017,wavpack,local-installable,Hybrid lossless audio compression,https://www.wavpack.com/,BSD-3-Clause
4019,credstash,local-installable,Little utility for managing credentials in the cloud,https://github.com/fugue/credstash,Apache-2.0
4020,vapoursynth-sub,local-installable,VapourSynth filters - Subtitling filter,https://www.vapoursynth.com,MIT
4021,emqx,local-installable,MQTT broker for IoT,https://www.emqx.io/,Apache-2.0
4022,sox_ng,local-installable,Sound eXchange NG,https://codeberg.org/sox_ng/sox_ng,GPL-2.0-only
4023,hcledit,local-installable,Command-line editor for HCL,https://github.com/minamijoyo/hcledit,MIT
4024,libfreenect,local-installable,Drivers and libraries for the Xbox Kinect device,https://openkinect.org/,Apache-2.0 OR GPL-2.0-only
4027,instead,local-installable,Interpreter of simple text adventures,https://instead.hugeping.ru/,MIT
4028,cimg,local-installable,C++ toolkit for image processing,https://cimg.eu/,CECILL-2.0
4029,gojq,local-installable,Pure Go implementation of jq,https://github.com/itchyny/gojq,MIT
4030,nyx,local-installable,Command-line monitor for Tor,https://nyx.torproject.org/,GPL-3.0-only
4031,cargo-expand,local-installable,Show what Rust code looks like with macros expanded,https://github.com/dtolnay/cargo-expand,Apache-2.0 OR MIT
4032,dafny,local-installable,Verification-aware programming language,https://github.com/dafny-lang/dafny/blob/master/README.md,MIT
