rank,tool,access,description,homepage,license
3814,kargo,local-installable,Multi-Stage GitOps Continuous Promotion,https://kargo.io/,Apache-2.0
3815,mcat,local-installable,"Terminal image, video, directory, and Markdown viewer",https://github.com/Skardyy/mcat,MIT
3816,threadweaver,local-installable,Helper for multithreaded programming,https://api.kde.org/threadweaver-index.html,LGPL-2.0-or-later
3818,organize-tool,local-installable,File management automation tool,https://github.com/tfeldmann/organize,MIT
3819,calcurse,local-installable,Text-based personal organizer,https://calcurse.org/,BSD-2-Clause
3820,noti,local-installable,Trigger notifications when a process completes,https://github.com/variadico/noti,MIT
3821,pcb2gcode,local-installable,"Command-line tool for isolation, routing and drilling of PCBs",https://github.com/pcb2gcode/pcb2gcode,GPL-3.0-or-later
3822,mcp-grafana,local-installable,MCP server for Grafana,https://github.com/grafana/mcp-grafana,Apache-2.0
3823,gifify,local-installable,Turn movies into GIFs,https://github.com/jclem/gifify,MIT
3824,vbindiff,local-installable,Visual Binary Diff,https://www.cjmweb.net/vbindiff/,GPL-2.0-or-later
3825,po4a,local-installable,Documentation translation maintenance tool,https://po4a.org,GPL-2.0-or-later
3826,apache-opennlp,local-installable,Machine learning toolkit for processing natural language text,https://opennlp.apache.org/,Apache-2.0
3827,codebook-lsp,local-installable,Code-aware spell checker language server,https://github.com/blopker/codebook,MIT
3828,youplot,local-installable,Command-line tool that draw plots on the terminal,https://github.com/red-data-tools/YouPlot/,MIT
3829,argp-standalone,local-installable,Standalone version of arguments parsing functions from GLIBC,https://github.com/argp-standalone/argp-standalone,LGPL-2.1-or-later AND LGPL-2.0-or-later AND LicenseRef-Homebrew-public-domain
3832,todoist-cli,local-installable,CLI for Todoist,https://github.com/sachaos/todoist,MIT
3833,watson,local-installable,Command-line tool to track (your) time,https://jazzband.github.io/Watson/,MIT
3834,brpc,local-installable,Better RPC framework,https://brpc.apache.org/,Apache-2.0
3835,percona-xtrabackup@8.0,local-installable,Open source hot backup tool for InnoDB and XtraDB databases,https://www.percona.com/software/mysql-database/percona-xtrabackup,GPL-2.0-only
3836,htmldoc,local-installable,Convert HTML to PDF or PostScript,https://www.msweet.org/htmldoc/,GPL-2.0-only
3837,arrayfire,local-installable,General purpose GPU library,https://arrayfire.com,BSD-3-Clause
3838,pixz,local-installable,"Parallel, indexed, xz compressor",https://github.com/vasi/pixz,BSD-2-Clause
3840,lm-sensors,local-installable,"Tools for monitoring the temperatures, voltages, and fans",https://github.com/hramrach/lm-sensors,GPL-2.0-or-later OR LGPL-2.1-or-later
3841,crystalline,local-installable,Language Server Protocol implementation for Crystal,https://github.com/elbywan/crystalline,MIT
3842,git-interactive-rebase-tool,local-installable,Native sequence editor for Git interactive rebase,https://gitrebasetool.mitmaro.ca/,GPL-3.0-or-later
3844,pianod,local-installable,Pandora client with multiple control interfaces,https://deviousfish.com/pianod/,MIT
