rank,tool,access,description,homepage,license
3157,x11vnc,local-installable,VNC server for real X displays,https://github.com/LibVNC/x11vnc,GPL-2.0-or-later WITH x11vnc-openssl-exception
3158,passenger,local-installable,"Server for Ruby, Python, and Node.js apps via Apache/NGINX",https://www.phusionpassenger.com/,MIT
3159,dbml-cli,local-installable,Convert DBML file to SQL and vice versa,https://www.dbml.org/cli/,Apache-2.0
3160,clusterawsadm,local-installable,"Home for bootstrapping, AMI, EKS, and other helpers in Cluster API Provider AWS",https://cluster-api-aws.sigs.k8s.io/clusterawsadm/clusterawsadm.html,Apache-2.0
3161,pkgx,local-installable,Standalone binary that can run anything,https://pkgx.sh,Apache-2.0
3163,ppsspp,local-installable,PlayStation Portable emulator,https://ppsspp.org/,GPL-2.0-or-later AND BSD-3-Clause
3164,jags,local-installable,Just Another Gibbs Sampler for Bayesian MCMC simulation,https://mcmc-jags.sourceforge.io,GPL-2.0-only
3165,spek,local-installable,Acoustic spectrum analyser,https://www.spek.cc,GPL-3.0-or-later
3167,otree,local-installable,Command-line tool to view objects (JSON/YAML/TOML) in TUI tree widget,https://github.com/fioncat/otree,MIT
3168,enscript,local-installable,"Convert text to Postscript, HTML, or RTF, with syntax highlighting",https://www.gnu.org/software/enscript/,GPL-3.0-or-later
3169,tty-clock,local-installable,Digital clock in ncurses,https://github.com/xorg62/tty-clock,BSD-3-Clause
3170,psgrep,local-installable,Shortcut for the 'ps aux | grep' idiom,https://github.com/jvz/psgrep,GPL-3.0-or-later
3171,base64,local-installable,Encode and decode base64 files,https://www.fourmilab.ch/webtools/base64/,LicenseRef-Homebrew-public-domain
3172,rofi,local-installable,"Window switcher, application launcher and dmenu replacement",https://davatorium.github.io/rofi/,MIT
3174,mozjpeg,local-installable,Improved JPEG encoder,https://github.com/mozilla/mozjpeg,BSD-3-Clause
3176,fiona,local-installable,Reads and writes geographic data files,https://fiona.readthedocs.io/en/stable/,BSD-3-Clause
3177,rhash,local-installable,Utility for computing and verifying hash sums of files,https://sourceforge.net/projects/rhash/,0BSD
3178,aqbanking,local-installable,Generic online banking interface,https://www.aquamaniac.de/rdm/projects/aqbanking,GPL-2.0-or-later
3179,opus-tools,local-installable,"Utilities to encode, inspect, and decode .opus files",https://www.opus-codec.org/,BSD-2-Clause
3183,tfcmt,local-installable,Notify the execution result of terraform command,https://suzuki-shunsuke.github.io/tfcmt/,MIT
3184,atlantis,local-installable,Terraform Pull Request Automation tool,https://www.runatlantis.io/,Apache-2.0
3185,qtgrpc,local-installable,Provides support for communicating with gRPC services,https://www.qt.io/,GPL-3.0-only AND (LGPL-3.0-only OR GPL-2.0-only OR GPL-3.0-only) AND (GPL-3.0-only WITH Qt-GPL-exception-1.0) AND BSD-3-Clause
3186,go-size-analyzer,local-installable,Analyzing the dependencies in compiled Golang binaries,https://github.com/Zxilly/go-size-analyzer,AGPL-3.0-only
3187,easy-tag,local-installable,Application for viewing and editing audio file tags,https://wiki.gnome.org/Apps/EasyTAG,GPL-2.0-or-later
3188,cpputest,local-installable,C /C++ based unit xUnit test framework,https://cpputest.github.io/,BSD-3-Clause
3189,zim,local-installable,Graphical text editor used to maintain a collection of wiki pages,https://zim-wiki.org/,GPL-2.0-or-later
