rank,tool,access,description,homepage,license
3034,acpica,local-installable,OS-independent implementation of the ACPI specification,https://github.com/acpica/acpica,Intel-ACPI OR GPL-2.0-only OR BSD-3-Clause
3035,termscp,local-installable,Feature rich terminal file transfer and explorer,https://termscp.veeso.dev/,MIT
3037,profanity,local-installable,Console based XMPP client,https://profanity-im.github.io,GPL-3.0-or-later
3039,sha3sum,local-installable,"Keccak, SHA-3, SHAKE, and RawSHAKE checksum utilities",https://codeberg.org/maandree/sha3sum,ISC
3040,grunt-cli,local-installable,JavaScript Task Runner,https://gruntjs.com/,MIT
3041,libical,local-installable,Implementation of iCalendar protocols and data formats,https://libical.github.io/libical/,LGPL-2.1-or-later OR MPL-2.0
3042,cscope,local-installable,Tool for browsing source code,https://cscope.sourceforge.net/,BSD-3-Clause
3043,flann,local-installable,Fast Library for Approximate Nearest Neighbors,https://github.com/flann-lib/flann,BSD-3-Clause
3044,container-structure-test,local-installable,Validate the structure of your container images,https://github.com/GoogleContainerTools/container-structure-test,Apache-2.0
3045,psalm,local-installable,PHP Static Analysis Tool,https://psalm.dev,MIT
3046,glslviewer,local-installable,Live-coding console tool that renders GLSL Shaders,https://patriciogonzalezvivo.com/2015/glslViewer/,BSD-3-Clause
3047,argyll-cms,local-installable,ICC compatible color management system,https://www.argyllcms.com/,AGPL-3.0-only
3048,visp,local-installable,Visual Servoing Platform library,https://visp.inria.fr/,GPL-2.0-or-later
3049,fzy,local-installable,"Fast, simple fuzzy text selector with an advanced scoring algorithm",https://github.com/jhawthorn/fzy,MIT
3050,editorconfig-checker,local-installable,Tool to verify that your files are in harmony with your .editorconfig,https://github.com/editorconfig-checker/editorconfig-checker,MIT
3051,naabu,local-installable,Fast port scanner,https://docs.projectdiscovery.io/tools/naabu/overview,MIT
3052,fdroidserver,local-installable,Create and manage Android app repositories for F-Droid,https://f-droid.org,AGPL-3.0-or-later
3054,epubcheck,local-installable,"Validate EPUB files, version 2.0 and later",https://github.com/w3c/epubcheck,BSD-3-Clause
3055,libvmaf,local-installable,Perceptual video quality assessment based on multi-method fusion,https://github.com/Netflix/vmaf,BSD-2-Clause-Patent
3056,cling,local-installable,C++ interpreter,https://root.cern/cling/,(LGPL-2.1-only OR NCSA) AND (Apache-2.0 WITH LLVM-exception)
3057,cloudquery,local-installable,Data movement tool to sync data from any source to any destination,https://www.cloudquery.io,MPL-2.0
3058,mafft,local-installable,Multiple alignments with fast Fourier transforms,https://mafft.cbrc.jp/alignment/software/,BSD-3-Clause
3059,bmake,local-installable,Portable version of NetBSD make(1),https://www.crufty.net/help/sjg/bmake.html,BSD-3-Clause
3060,libclc,local-installable,Implementation of the library requirements of the OpenCL C programming language,https://libclc.llvm.org/,Apache-2.0 WITH LLVM-exception
3062,itk,local-installable,Insight Toolkit is a toolkit for performing registration and segmentation,https://itk.org,Apache-2.0
3063,pdns,local-installable,Authoritative nameserver,https://www.powerdns.com,GPL-2.0-or-later
