rank,tool,access,description,homepage,license
3847,gkrellm,local-installable,Extensible GTK system monitoring application,https://billw2.github.io/gkrellm/gkrellm.html,GPL-3.0-or-later
3848,eralchemy,local-installable,Simple entity relation (ER) diagrams generation,https://github.com/eralchemy/eralchemy,Apache-2.0
3849,aqtinstall,local-installable,Another unofficial Qt installer,https://github.com/miurahr/aqtinstall,MIT
3850,cntlm,local-installable,NTLM authentication proxy with tunneling,https://cntlm.sourceforge.net/,GPL-2.0-only
3851,zsync,local-installable,File transfer program,https://zsync.moria.org.uk/,Artistic-2.0 AND Zlib AND LicenseRef-Homebrew-public-domain
3853,auto-editor,local-installable,Effort free video editing!,https://auto-editor.com,Unlicense
3854,libp11,local-installable,PKCS#11 wrapper library in C,https://github.com/OpenSC/libp11/wiki,LGPL-2.1-or-later
3855,highs,local-installable,Linear optimization software,https://www.maths.ed.ac.uk/hall/HiGHS/,MIT
3856,knot-resolver,local-installable,"Minimalistic, caching, DNSSEC-validating DNS resolver",https://www.knot-resolver.cz,CC0-1.0 AND GPL-3.0-or-later AND LGPL-2.1-or-later AND MIT
3859,glyph,local-installable,Converts images/video to ASCII art,https://github.com/seatedro/glyph,MIT
3860,dmd,local-installable,Digital Mars D compiler,https://dlang.org/,BSL-1.0
3861,minizinc,local-installable,Medium-level constraint modeling language,https://www.minizinc.org/,MPL-2.0
3862,pake,local-installable,Turn any webpage into a desktop app with Rust with ease,https://github.com/tw93/Pake,MIT
3865,redress,local-installable,Tool for analyzing stripped Go binaries compiled with the Go compiler,https://github.com/goretk/redress,AGPL-3.0-only
3866,primecount,local-installable,Fast prime counting function program and C/C++ library,https://github.com/kimwalisch/primecount,BSD-2-Clause
3867,ptpython,local-installable,Advanced Python REPL,https://github.com/prompt-toolkit/ptpython,BSD-3-Clause
3868,zint,local-installable,Barcode encoding library supporting over 50 symbologies,https://www.zint.org.uk/,GPL-3.0-or-later
3869,chatblade,local-installable,CLI Swiss Army Knife for ChatGPT,https://github.com/npiv/chatblade,GPL-3.0-only
3870,qtmultimedia,local-installable,Provides APIs for playing back and recording audiovisual content,https://www.qt.io/,(LGPL-3.0-only OR GPL-2.0-only OR GPL-3.0-only) AND (MPL-2.0 AND BSD-3-Clause) AND Apache-2.0 AND BSD-3-Clause AND GPL-3.0-only AND MIT
3871,i686-elf-grub,local-installable,GNU GRUB bootloader for i686-elf,https://savannah.gnu.org/projects/grub,GPL-3.0-or-later
3872,todo-txt,local-installable,"Minimal, todo.txt-focused editor",http://todotxt.org/,GPL-3.0-only
3873,dnsrobocert,local-installable,Manage Let's Encrypt SSL certificates based on DNS challenges,https://dnsrobocert.readthedocs.io/en/latest/,MIT
3874,ddclient,local-installable,Update dynamic DNS entries,https://ddclient.net/,GPL-2.0-or-later
3876,corkscrew,local-installable,Tunnel SSH through HTTP proxies,https://packages.debian.org/sid/corkscrew,GPL-2.0-or-later
3877,joe,local-installable,Full featured terminal-based screen editor,https://joe-editor.sourceforge.io/,GPL-1.0-or-later
3879,libdnet,local-installable,Portable low-level networking library,https://github.com/ofalk/libdnet,BSD-3-Clause
